contributor,family,species,age.yr,a.stba.cm,a.stbh.cm,a.stbc.cm,h.t.m,h.c.m,m.lf.g,m.st.g,m.rf.g,m.rc.g,m.rt.g,lf.ma.g.m2,d.st.g.cm3,n.lf.per,n.ss.per,n.rf.per,n.rc.per,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai.m2.m2,map,mat,reference
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,1.5,1.11,,1.3,,16.29,53.7,18.38,25.59,43.97,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,0.98,0.53,,1.72,,4.35,16.5,1.03,3.34,4.37,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,0.62,,,0.64,,1.45,3.76,2.69,1.15,3.84,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,0,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Endospermum diadenum,mostly less than 20,0.34,,,0.3,,0.74,0.76,1.75,0,1.75,49.9,0.34,3.116,0.156,0.506,0.451,EA,FW,0,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,15.92,13.06,,11.6,,3332.84,50617.1,,,,59.27,0.45,3.068,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,10.51,9.55,,9,,1992.46,20690.2,,,,59.27,0.45,3.068,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,6.37,5.73,,8.6,,550.64,7922.45,,,,59.27,0.45,3.068,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,4.59,3.81,,8,,79.7,3499.39,,,,59.27,0.45,3.068,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,3.8,3.18,,4.8,,10.87,1388.14,,,,59.27,0.45,3.068,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,3.5,2.78,,4.2,,423.85,1298.42,,,,59.27,0.45,3.068,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,3.22,2.42,,5.4,,119.55,1166.46,,,,59.27,0.45,3.068,,,,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,2.45,2.05,,2.3,,65.21,311.41,,,,59.27,0.45,3.068,,,,EA,FW,1,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,2.18,1.91,,3.5,,163.02,411.69,,,,59.27,0.45,3.068,,,,EA,FW,1,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Glochidion sp.,mostly less than 20,1.88,1.47,,3,,79.7,353.63,,,,59.27,0.45,3.068,,,,EA,FW,1,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Homalanthus populneus,mostly less than 20,0.35,,,,,1.08,1.21,2.63,0,2.63,,0.36,,,,,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Homalanthus populneus,mostly less than 20,0.3,,,,,0.79,0.79,1.87,0,1.87,,0.36,,,,,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,15.41,12.82,10.45,13.7,,2215.5,40834.17,3271.82,13353.24,16625.06,,0.31,2.655,0.228,0.476,0.206,EA,FW,3,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,6.21,5.08,4.68,7.2,,977.43,3368.67,261.01,1583.86,1844.87,,0.31,2.655,0.228,0.476,0.206,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,4.3,3.47,2.07,5.2,,97.74,1049.66,128.67,265.6,394.27,,0.31,2.655,0.228,0.476,0.206,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,3.82,3.07,2.42,5.47,,45.61,766.5,88.23,169.45,257.68,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,2.99,2.37,,3.25,,61.9,258.26,32.7,42.57,75.27,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,1.97,1.75,,2.34,,28.78,62.04,15.81,8.33,24.14,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,1.77,1.58,,1.78,,41.4,49.97,12.73,32.3,45.03,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,1.76,1.58,,1.94,,33.54,41.41,12.65,11.62,24.27,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,1.73,1.55,,2.33,,21.85,51.99,12.15,58.15,70.3,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,1.72,1.3,0.73,2.96,,19.55,102.52,6.92,16.21,23.13,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,1.43,1.3,,1.39,,21.35,27.08,8.26,10.16,18.42,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,1.25,1.16,,1.38,,18.98,20.4,6.29,2.71,9,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.83,0.82,,1.47,,3.4,10.86,2.77,1.14,3.91,,0.31,2.655,0.228,0.476,0.206,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
