Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.03437,0.263,0.00231,0.00192,0.00376,NA,NA,NA,NA,NA
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.02146,0.238,0.00139,0.00097,0.00156,NA,NA,NA,NA,NA
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.111015,0.607,0.00706,0.00765,NA,NA,NA,NA,NA,NA
NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.043569,0.479,0.00273,0.00279,NA,NA,NA,NA,NA,NA
NZ,WTRF,Litsea calicaris,Lauraceae,0.110693,0.48,0.00739,0.00321,NA,0.001998003,0.46572068,0.443833257,0.124023937,0.0066
NZ,WTRF,Litsea calicaris,Lauraceae,0.036007,0.36,0.00226,0.00164,NA,0.002381841,0.138495895,0.180313687,0.052721524,0.0058
NZ,WTRF,Litsea calicaris,Lauraceae,0.147209,0.55,0.00668,0.00355,NA,0.002170333,0.454695984,0.444556903,0.146011387,0.0063
NZ,WTRF,Litsea calicaris,Lauraceae,0.0223819,0.163,0.00221,0.00076,0.00171,NA,NA,NA,NA,NA
NZ,WTRF,Litsea calicaris,Lauraceae,0.115033,0.449,0.00667,0.00281,NA,NA,NA,NA,NA,NA
NZ,WTRF,Litsea calicaris,Lauraceae,0.045886,0.348,0.00288,0.00134,NA,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.16358,0.394,0.0083,0.00644,0.01021,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.110612,0.77,0.00695,0.00547,NA,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.11819,0.443,0.00583,0.00288,NA,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.136344,0.42,0.00591,0.00295,NA,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.092081,0.708,0.00489,0.0033,NA,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.103809,0.408,0.00569,0.00427,NA,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.125054,0.779,0.0073,0.00591,NA,NA,NA,NA,NA,NA
NZ,WTRF,Melicytus ramiflorus,Violaceae,0.185064,0.49,0.00673,0.00549,NA,NA,NA,NA,NA,NA
NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.018817,0.321,0.00306,0.00242,NA,0.000225883,0.112481161,0.198056078,0.038515113,0.0053
NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.014648,0.221,0.00243,0.00142,NA,0.000182187,0.060758203,0.156768629,0.020729141,0.0048
NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.016603,0.308,0.00294,0.00233,NA,0.000174514,0.091304715,0.240427084,0.026128735,0.0058
NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.014037,0.26,0.00227,0.00131,NA,0.000189743,0.070652875,0.164245835,0.022942069,0.0053
NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.027987,0.26,0.00482,0.00399,NA,0.000290717,0.096091315,0.242474009,0.023262105,0.0086
NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.021024,0.274,0.00393,0.00244,NA,NA,NA,NA,NA,NA
NZ,CTRF,Nestegis cunninghamii,Oleaceae,0.065404,0.798,0.01039,0.00602,NA,0.002052508,0.87713285,0.687480244,0.301984451,0.0077
NZ,CTRF,Nestegis cunninghamii,Oleaceae,0.062928,1.04,0.00996,0.00781,NA,0.002284055,1.162998327,1.032572434,0.210653373,0.0078
NZ,CTRF,Nestegis cunninghamii,Oleaceae,0.054123,0.765,0.00676,0.00434,NA,0.001486939,0.961466656,0.742648531,0.227163883,0.0073
NZ,CTRF,Nestegis cunninghamii,Oleaceae,0.044427,0.806,0.00677,0.00637,NA,0.002068594,0.87061905,0.821603793,0.179599924,0.0084
NZ,CTRF,Nestegis cunninghamii,Oleaceae,0.062802,0.974,0.01171,0.0082,NA,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.017827,0.585,0.00144,0.00206,NA,7.11E-05,0.313795153,0.331063325,0.149231521,0.00491
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.035301,0.617,0.00335,0.00438,NA,0.000105422,0.402627135,0.405800158,0.1192107,0.0057
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.055995,0.725,0.00443,0.00755,NA,9.29E-05,0.562758538,0.410331126,0.235141228,0.0072
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.0074995,0.3,0.00075,0.00153,0.00106,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.0091416,0.285,0.00107,0.00155,0.00202,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.0028348,0.239,0.00031,0.00056,0.00068,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.0044817,0.282,0.00046,0.00074,0.00085,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.0031869,0.306,0.00036,0.00132,0.00107,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.03462,0.482,0.0027,0.00324,NA,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.035192,0.565,0.00366,0.00482,NA,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus menziesii,Nothofagaceae,0.060465,0.67,0.0061,0.00738,NA,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.022289,0.472,0.00192,0.0028,NA,9.30E-05,0.149747803,0.192741987,0.069799482,0.0059
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.024489,0.42,0.00222,0.00265,NA,7.14E-05,0.200846305,0.327751634,0.07166851,0.0043
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.038503,0.712,0.00322,0.00564,NA,7.36E-05,0.379295699,0.571021254,0.116014128,0.0059
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.0044695,0.272,0.00035,0.00086,0.00066,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.0072568,0.299,0.00069,0.00165,0.00108,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.004428,0.283,4.00E-04,0.00104,0.00055,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.0081068,0.291,0.00079,0.00169,0.00154,NA,NA,NA,NA,NA
NZ,CTRF,Nothofagus solandri var cliffortioides,Nothofagaceae,0.0035112,0.203,0.00037,0.00061,0.00193,NA,NA,NA,NA,NA
NZ,WTRF,Nothofagus truncata,Nothofagaceae,0.078493,0.829,0.00556,0.00682,NA,NA,NA,NA,NA,NA
NZ,WTRF,Nothofagus truncata,Nothofagaceae,0.069384,0.802,0.00506,0.00785,NA,NA,NA,NA,NA,NA
NZ,WTRF,Nothofagus truncata,Nothofagaceae,0.044948,0.743,0.00357,0.00414,NA,NA,NA,NA,NA,NA
NZ,WTRF,Nothofagus truncata,Nothofagaceae,0.060511,0.712,0.00468,0.00571,NA,NA,NA,NA,NA,NA
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00648,0.076,0.000455,0.000117,0.00029,NA,NA,NA,NA,NA
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00508,0.056,0.000278,6.50E-05,0.000119,NA,NA,NA,NA,NA
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00628,0.077,0.000511,0.000144,0.000275,NA,NA,NA,NA,NA
NZ,WTRF,Pseudopanax arboreus,Araliaceae,0.00453,0.061,0.000328,7.20E-05,0.000247,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00619,0.1,0.00173,0.00078,0.00094,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00196,0.092,0.00048,0.00016,5.00E-04,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00165,0.085,0.00086,3.00E-04,0.00094,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00472,0.092,0.00105,2.00E-04,0.00074,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00615,0.136,0.00156,0.00033,0.00055,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00816,0.125,0.00175,0.00044,0.00057,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00339,0.093,0.00125,0.00034,0.00079,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00429,0.09,0.00168,0.00075,0.00093,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00634,0.094,0.00163,0.00021,0.00057,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00884,0.112,0.00172,0.00042,0.00054,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00268,0.07,0.000763,0.000365,0.000479,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00322,0.09,0.000981,0.000365,0.000592,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00283,0.081,0.000656,0.000289,0.000394,NA,NA,NA,NA,NA
NZ,CTRF,Pseudopanax crassifolius,Araliaceae,0.00205,0.074,0.000559,0.000183,0.000438,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.0145,0.062,0.000396,6.80E-05,0.000122,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.00814,0.035,0.000263,5.10E-05,8.20E-05,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01227,0.051,0.000341,5.40E-05,7.60E-05,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01163,0.036,0.000363,4.50E-05,0.000108,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.18704,0.238,0.01005,0.0024,0.00578,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01478,0.042,7.00E-04,2.00E-04,0.00116,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.02749,0.074,0.00149,4.00E-04,0.00194,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01433,0.048,0.00088,0.00026,0.00128,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.017,0.066,0.00089,0.00029,0.00139,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.01518,0.051,0.00083,0.00013,0.00132,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.19295,0.285,0.00978,0.00259,0.0056,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.16789,0.245,0.01081,0.00315,0.0071,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.17061,0.286,0.00906,0.00223,0.00633,NA,NA,NA,NA,NA
NZ,WTRF,Schefflera digitata,Araliaceae,0.16042,0.233,0.00783,0.00213,0.00489,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Verbenaceae,0.202163,0.47,0.01311,0.01252,NA,0.001326348,0.546051863,0.447188098,0.166096404,0.0127
NZ,WTRF,Vitex lucens,Verbenaceae,0.164117,0.468,0.00779,0.00626,NA,0.000969304,0.507995297,0.427330126,0.136468948,0.0104
NZ,WTRF,Vitex lucens,Verbenaceae,0.171764,0.45,0.00958,0.0075,NA,0.001204133,0.51469099,0.44725292,0.126330085,0.0114
NZ,WTRF,Vitex lucens,Verbenaceae,0.207271,0.598,0.01299,0.01187,NA,0.001073771,0.566796575,0.534623695,0.140350664,0.0131
NZ,WTRF,Vitex lucens,Verbenaceae,0.0363621,0.213,0.00142,0.00084,0.00106,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Cunionaceae,0.2215598,0.53,0.0108,0.0086,0.01009,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Cunionaceae,0.2245363,0.515,0.01199,0.01314,0.01494,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Verbenaceae,0.0428241,0.215,0.00165,0.00084,0.00123,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Verbenaceae,0.0335567,0.222,0.00117,0.00073,0.00083,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Verbenaceae,0.105625,0.394,0.00703,0.00558,NA,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Verbenaceae,0.144452,0.425,0.00708,0.0088,NA,NA,NA,NA,NA,NA
NZ,WTRF,Vitex lucens,Verbenaceae,0.149412,0.458,0.00884,0.0061,NA,NA,NA,NA,NA,NA
NZ,CTRF,Weinmannia racemosa,Cunionaceae,0.05566,0.54,0.00641,0.00288,NA,0.000524686,0.327997993,0.469826602,0.088391914,0.0061
NZ,CTRF,Weinmannia racemosa,Cunionaceae,0.04374,0.351,0.00409,0.00213,NA,0.00033854,0.185021313,0.290326046,0.052727704,0.0062
NZ,CTRF,Weinmannia racemosa,Cunionaceae,0.064265,0.305,0.00736,0.00251,NA,0.00037122,0.296002891,0.306964019,0.097529368,0.0056
NZ,CTRF,Weinmannia racemosa,Cunionaceae,0.0189577,0.221,0.00155,0.00051,0.00059,NA,NA,NA,NA,NA
NZ,CTRF,Weinmannia racemosa,Cunionaceae,0.0215302,0.207,0.00191,0.00065,0.00097,NA,NA,NA,NA,NA
NZ,CTRF,Weinmannia racemosa,Cunoniaceae,0.01321,0.299,0.00108,0.00072,5.00E-04,NA,NA,NA,NA,NA
NZ,CTRF,Weinmannia racemosa,Cunoniaceae,0.02151,0.333,0.00202,0.00134,0.00093,NA,NA,NA,NA,NA
NZ,CTRF,Weinmannia racemosa,Cunionaceae,0.058821,0.242,0.00376,0.00088,NA,NA,NA,NA,NA,NA
NZ,WTRF,Weinmannia silvicola,Cunionaceae,0.040681,0.331,0.00481,0.00181,NA,0.000531553,0.173154384,0.332270921,0.047325363,0.0054
NZ,WTRF,Weinmannia silvicola,Cunionaceae,0.037059,0.323,0.00323,0.00104,NA,0.000339568,0.166767525,0.255488563,0.076175163,0.00379
NZ,WTRF,Weinmannia silvicola,Cunionaceae,0.041865,0.42,0.00427,0.00186,NA,0.000543306,0.215525015,0.371426455,0.053667872,0.0045
NZ,WTRF,Weinmannia silvicola,Cunionaceae,0.046337,0.454,0.00554,0.00238,NA,0.00055135,0.241050001,0.385058684,0.064060002,0.00469
NZ,WTRF,Weinmannia silvicola,Cunoniaceae,0.022,0.27,0.00284,0.00158,0.00086,NA,NA,NA,NA,NA
NZ,WTRF,Weinmannia silvicola,Cunoniaceae,0.02691,0.342,0.00308,0.00197,0.00124,NA,NA,NA,NA,NA
NZ,WTRF,Weinmannia silvicola,Cunoniaceae,0.01539,0.32,0.00169,0.00103,0.00219,NA,NA,NA,NA,NA
NZ,WTRF,Weinmannia silvicola,Cunoniaceae,0.00756,0.236,0.00083,0.00038,0.00037,NA,NA,NA,NA,NA
NZ,WTRF,Weinmannia silvicola,Cunionaceae,0.033111,0.335,0.00342,0.00139,NA,NA,NA,NA,NA,NA
NZ,WTRF,Weinmannia silvicola,Cunoniaceae,0.01848,0.282,0.00228,0.00115,0.0013,NA,NA,NA,NA,NA
