dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017436625,NA,NA,17.27,11.6,0.425,0.232,NA,NA,18.93,NA,NA,NA,146.2,175.08,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002642079,NA,NA,3.58,1.4,0.085,0.058,NA,NA,0.824,NA,NA,NA,2.99,4.389,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011122023,NA,NA,7.57,3.38,0.239,0.139,NA,NA,9.17,NA,NA,NA,27.2,42.186,5.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027759113,NA,NA,15.18,7.79,0.46,0.248,NA,NA,29.9,NA,NA,NA,150.3,197.55,17.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013273229,NA,NA,11.52,6.14,0.31,0.153,NA,NA,7.94,NA,NA,NA,61.8,74.77,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Cupressaceae,Cryptomeria japonica,EG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003318307,NA,NA,5.52,3.19,0.157,0.079,NA,NA,1.682,NA,NA,NA,9.4,12.805,1.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Symplocaceae,Symplocos coreana,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00022698,NA,NA,1.8,0.72,0.0335,0.007,NA,NA,0.043,NA,NA,NA,0.284,0.437,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex sugerokii,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001017876,NA,NA,4.37,2.68,0.055,0.0485,NA,NA,0.461,NA,NA,NA,3.782,4.975,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Clethraceae,Clethra barbinervis,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002248006,NA,NA,6,3.7,0.109,0.075,NA,NA,0.55,NA,NA,NA,9.108,11.223,1.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Magnoliaceae,Magnolia salicifolia,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003525652,NA,NA,8.05,2.8,0.103,0.072,NA,NA,0.178,NA,NA,NA,9.499,10.593,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Ericaceae,Menziesia ciliicalyx,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000323655,NA,NA,2.07,0.67,0.029,0.011,NA,NA,0.034,NA,NA,NA,0.212,0.319,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Lauraceae,Lindera umbellata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000606987,NA,NA,3.5,1.08,0.042,0.022,NA,NA,0.221,NA,NA,NA,0.69,1.368,0.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex pedunculosa,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000962113,NA,NA,5.39,3.27,0.058,0.051,NA,NA,0.195,NA,NA,NA,3.16,4.164,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Hamamelidaceae,Hamamelis japonica,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001017876,NA,NA,6.19,1.59,0.0495,0.0345,NA,NA,0.221,NA,NA,NA,3.476,4.82,1.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Styracaceae,Styrax japonica,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000408281,NA,NA,4.13,2.42,0.0403,0.0268,NA,NA,0.104,NA,NA,NA,0.968,1.419,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex pedunculosa,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001885741,NA,NA,6.79,2.62,0.078,0.058,NA,NA,0.373,NA,NA,NA,5.302,6.888,1.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Araliaceae,Chengiopanax sciadophylloides,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107521,NA,NA,4.8,1.35,0.067,0.037,NA,NA,0.084,NA,NA,NA,1.576,2.017,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Rosaceae,Sorbus commixta,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000213825,NA,NA,3.59,1.51,0.027,0.0205,NA,NA,0.022,NA,NA,NA,0.503,0.582,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Rosaceae,Sorbus commixta,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002827433,NA,NA,11,2.9,0.089,0.0625,NA,NA,0.204,NA,NA,NA,13.43,16.201,2.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Daphniphyllaceae,Daphniphyllum macropodum,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000829577,NA,NA,3.24,1.31,0.0485,0.035,NA,NA,0.229,NA,NA,NA,1.087,1.714,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Hamamelidaceae,Hamamelis japonica,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001194591,NA,NA,6,2.45,0.057,0.044,NA,NA,0.209,NA,NA,NA,3.079,4.155,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Fagaceae,Fagus crenata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001452201,NA,NA,4.87,1.06,0.059,0.04,NA,NA,0.192,NA,NA,NA,2.318,3.828,1.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Hamamelidaceae,Hamamelis japonica,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000149571,NA,NA,2.86,1.19,0.0215,0.0103,NA,NA,0.025,NA,NA,NA,0.229,0.29,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Hamamelidaceae,Hamamelis japonica,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000490874,NA,NA,3.94,1.78,0.0373,0.0263,NA,NA,0.065,NA,NA,NA,0.859,1.159,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex sugerokii,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002206183,NA,NA,4.3,0.08,0.053,0.039,NA,NA,0.349,NA,NA,NA,2.393,3.378,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Daphniphyllaceae,Daphniphyllum macropodum,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000564104,NA,NA,1.8,0.39,0.0295,0.0148,NA,NA,0.089,NA,NA,NA,0.237,0.404,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Lauraceae,Lindera umbellata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000235062,NA,NA,2.53,0.83,0.0263,0.0108,NA,NA,0.038,NA,NA,NA,0.202,0.348,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Oleaceae,Fraxinus sieboldiana,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000132732,NA,NA,2.72,1.16,0.035,0.0185,NA,NA,0.02,NA,NA,NA,0.218,0.301,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Magnoliaceae,Magnolia salicifolia,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000323655,NA,NA,2.43,0.535,0.029,0.013,NA,NA,0.05,NA,NA,NA,0.257,0.389,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Lauraceae,Lindera umbellata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000314159,NA,NA,2.92,0.88,0.03,0.018,NA,NA,0.074,NA,NA,NA,0.347,0.566,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Lauraceae,Lindera umbellata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000201062,NA,NA,3.45,1.09,0.0233,0.0133,NA,NA,0.056,NA,NA,NA,0.248,0.407,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex pedunculosa,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000490874,NA,NA,3.17,1.27,0.0425,0.025,NA,NA,0.091,NA,NA,NA,0.679,1.065,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex pedunculosa,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00066052,NA,NA,5.2,1.41,0.0555,0.0275,NA,NA,0.081,NA,NA,NA,1.301,1.83,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000143139,NA,NA,1.83,0.79,0.0235,0.009,NA,NA,0.044,NA,NA,NA,0.162,0.247,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Ericaceae,Lyonia ovalifolia,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000706858,NA,NA,3.67,1.47,0.0465,0.03,NA,NA,0.235,NA,NA,NA,1.326,2.251,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex macropoda,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000138929,NA,NA,2.9,1.68,0.0283,0.0163,NA,NA,0.0037,NA,NA,NA,0.34,0.3727,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex sugerokii,EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000855299,NA,NA,2.79,0.63,0.032,0.0205,NA,NA,0.276,NA,NA,NA,0.727,1.436,0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000339795,NA,NA,2.55,0.53,0.0258,0.016,NA,NA,0.039,NA,NA,NA,0.247,0.429,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Styracaceae,Styrax japonica,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000706858,NA,NA,3.995,1.94,0.037,0.0225,NA,NA,0.072,NA,NA,NA,0.68,0.866,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Aquifoliaceae,Ilex macropoda,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001885741,NA,NA,3.92,1.09,0.052,0.036,NA,NA,0.043,NA,NA,NA,1.64,2.012,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Fagaceae,Castanea crenata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029864765,NA,NA,10.5,3.3,0.26,0.177,NA,NA,2.86,NA,NA,NA,54.9,91.48,33.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Fagaceae,Castanea crenata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103491131,NA,NA,13.3,2.8,0.487,0.364,NA,NA,13.4,NA,NA,NA,307,546.338,225.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Ando0000,NA,Japan-Ashiu Research Forest of Kyoto University-Compartment 4,35.33,135.72,NA,NA,NA,NA,Fagaceae,Castanea crenata,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063793966,NA,NA,13.5,5,0.465,0.327,NA,NA,4.54,NA,NA,NA,242.8,341.64,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
