dataset,location,latitude,longitude,vegetation,map,mat,grouping,species,family,pft,age,h.t,d.bh,m.lf,m.st,m.so,m.br,m.rt,m.to,growingCondition
Whittaker2048,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Picea rubens ,Pinaceae,EG,57,12.62,0.158,7.504,67.043,74.547,17.353,22.88,97.427,FW
Whittaker2049,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Picea rubens ,Pinaceae,EG,61,3.07,0.034,0.475,2.302,2.777,0.642,1.273,4.05,FW
Whittaker2050,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Picea rubens ,Pinaceae,EG,122,10.66,0.187,7.685,95.544,103.229,27.934,37.2,140.429,FW
Whittaker2051,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Picea rubens ,Pinaceae,EG,126,13.25,0.247,11.52,182.78,194.3,52.98,75.19,269.49,FW
Whittaker2052,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,7.81,0.063,0.568,8.81,9.378,2.444,2.917,12.295,FW
Whittaker2053,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,4.8,0.028,0.045,1.329,1.373,0.206,0.489,1.862,FW
Whittaker2054,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,8.65,0.07,1.831,16.552,18.383,8.6,3.501,21.883,FW
Whittaker2055,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,2.8,0.014,0.005,0.273,0.277,0.015,0.24,0.517,FW
Whittaker2056,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,6,0.041,0.149,3.48,3.629,1.304,1.462,5.091,FW
Whittaker2057,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,2.75,0.013,0.006,0.218,0.223,0.025,0.183,0.406,FW
Whittaker2058,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,3,0.019,0.025,0.44,0.465,0.149,0.327,0.792,FW
Whittaker2059,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,9.1,0.074,0.456,13.64,14.096,3.475,5.214,19.31,FW
Whittaker2060,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,8.95,0.086,1.03,23.205,24.235,9.721,7.631,31.866,FW
Whittaker2061,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,7.67,0.057,0.242,6.128,6.37,1.737,0.96,7.33,FW
Whittaker2062,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,4.4,0.021,0.027,0.632,0.658,0.165,0.51,1.168,FW
Whittaker2063,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,5.25,0.034,0.113,1.969,2.082,0.488,0.567,2.649,FW
Whittaker2064,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,3.32,0.015,0.01,0.267,0.276,0.033,0.291,0.567,FW
Whittaker2065,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,10.3,0.093,1.114,24.76,25.874,7.284,7.094,32.968,FW
Whittaker2066,Hubbard Brook Experimental Forest,44,-72,TempF,1300,6,H,Acer pensylvanicum,Aceraceae,DA,,9.3,0.089,1.343,25.293,26.636,10.173,6.753,33.389,FW
