dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Ternstroemiaceae,Cleyera japonica,EA,NA,9.9002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002034817,NA,NA,7,2.05,0.084,0.0551,NA,NA,0.99,NA,NA,NA,5,7.99,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Castanopsis cuspidata,EA,NA,25.1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016286016,NA,NA,21.5,13.4,0.264,0.211,NA,NA,2.72,NA,NA,NA,173.2,200.42,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Araliaceae,Hedera rhombea,EA,NA,0.2264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,15.1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002780506,NA,NA,12.7,9.11,0.119,0.103,NA,NA,0.99,NA,NA,NA,35.9,39.69,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Castanopsis cuspidata,EA,NA,77.1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123162998,NA,NA,20.9,7.7,0.55,0.426,NA,NA,8.42,NA,NA,NA,582,990.12,399.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,9.3234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00209117,NA,NA,13.3,10.4,0.136,0.103,NA,NA,0.66,NA,NA,NA,34.3,37.66,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,1.1724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,0.086,NA,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus sessilifolia,EA,NA,29.8527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003674532,NA,NA,12.1,7.9,0.16,0.13,NA,NA,2.44,NA,NA,NA,42.1,49.94,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus glauca,EA,NA,5.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001146084,NA,NA,5.8,3.45,0.0764,0.0618,NA,NA,0.47,NA,NA,NA,5.9,7.37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,4.8165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002780506,NA,NA,13.6,10.8,0.15,0.115,NA,NA,0.44,NA,NA,NA,37.4,40.04,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,3.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,0.237,NA,NA,NA,NA,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,51.0251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007405056,NA,NA,19.3,14.5,0.285,0.171,NA,NA,4.33,NA,NA,NA,151.6,167.73,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,0.065,NA,NA,NA,NA,0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,65.6577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026015529,NA,NA,22.6,14.5,0.33,0.25,NA,NA,8.34,NA,NA,NA,372.2,431.04,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,6.0667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,0.445,NA,NA,NA,NA,2.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,31.2706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013273229,NA,NA,21.5,14.25,0.286,0.249,NA,NA,3.64,NA,NA,NA,205.1,226.04,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,5.2351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,0.384,NA,NA,NA,NA,0.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,52.1643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033329156,NA,NA,22.3,11.4,0.408,0.27,NA,NA,6.15,NA,NA,NA,393.8,493.55,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,0.256,NA,NA,NA,NA,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,25.5472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017203361,NA,NA,19.5,11.7,0.246,0.192,NA,NA,2.98,NA,NA,NA,191,219.88,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,1.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,0.128,NA,NA,NA,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,10.9628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001698227,NA,NA,13.7,9.45,0.117,0.0882,NA,NA,0.76,NA,NA,NA,27.7,29.76,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Aquifoliaceae,Ilex integra,EA,NA,16.2884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018385386,NA,NA,15.9,14.3,0.418,0.371,NA,NA,1.24,NA,NA,NA,394.1,400.54,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,8.2173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001625971,NA,NA,8.2,4.9,0.0847,0.0614,NA,NA,0.54,NA,NA,NA,9.4,10.54,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,4.6549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00243669,NA,NA,6.2,1,0.0618,0.0503,NA,NA,0.27,NA,NA,NA,3.3,3.97,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,56.1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016741547,NA,NA,15,4.1,0.171,0.154,NA,NA,3.72,NA,NA,NA,77.6,116.42,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,10.5102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002846314,NA,NA,13.65,9,NA,0.1044,NA,NA,0.78,NA,NA,NA,32.1,36.78,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,34.3628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008332289,NA,NA,19.3,12.1,0.245,0.18,NA,NA,2.69,NA,NA,NA,134.6,155.49,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,28.7279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011882289,NA,NA,21.1,14.6,0.363,0.266,NA,NA,3.02,NA,NA,NA,274.8,302.22,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,1.0873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,78.8503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033329156,NA,NA,23.7,14.6,0.419,0.306,NA,NA,9.96,NA,NA,NA,496.8,566.06,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,1.6653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029255296,NA,NA,NA,NA,NA,NA,NA,NA,0.138,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,20.8568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007697687,NA,NA,19,10.35,0.211,0.159,NA,NA,1.72,NA,NA,NA,106,117.32,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,0.5317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,0.039,NA,NA,NA,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,2.1786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002999624,NA,NA,16.6,15.15,0.1853,0.1311,NA,NA,0.18,NA,NA,NA,78.7,79.78,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,10.8432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,0.839,NA,NA,NA,NA,5.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Pinaceae,Abies firma,EG,NA,36.7997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006691035,NA,NA,7.55,3.55,0.133,0.109,NA,NA,4.42,NA,NA,NA,16,28.92,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,0.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,9.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003318307,NA,NA,8.65,3.8,0.0939,0.0742,NA,NA,0.64,NA,NA,NA,12.9,15.84,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,16.3217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004778362,NA,NA,9.9,3.6,0.1105,0.0984,NA,NA,1.11,NA,NA,NA,20.7,26.81,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,52.3487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023778715,NA,NA,20.3,11.4,0.314,0.237,NA,NA,6.14,NA,NA,NA,248.3,310.64,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,12.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,5.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,67.9378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021382465,NA,NA,23.2,16.6,0.362,0.26,NA,NA,10.1,NA,NA,NA,387.2,432.4,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,7.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,2.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,17.6267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005140282,NA,NA,15.5,9.5,0.161,0.118,NA,NA,1.25,NA,NA,NA,53.1,60.25,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,3.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,0.213,NA,NA,NA,NA,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Moraceae,Ficus nipponica,EA,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,0.028,NA,NA,NA,NA,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus salicina,EA,NA,18.1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005178476,NA,NA,13.7,4.15,0.123,0.102,NA,NA,1.099,NA,NA,NA,29.84,33.419,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Apocynaceae,Trachelospermum asiaticum,EA,NA,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,0.016,NA,NA,NA,NA,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Fagaceae,Quercus gilva,EA,NA,44.8717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018385386,NA,NA,22.2,15.4,0.278,0.227,NA,NA,5.35,NA,NA,NA,280.99,320.23,33.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Nagano0000,NA,Japan-Minamata IBP-P2,32.17,130.59,NA,NA,NA,NA,Lauraceae,Machilus thunbergii,EA,NA,16.4452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025164943,NA,NA,9.7,6.28,0.416,NA,NA,NA,1.692,NA,NA,NA,153.6,161.112,5.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
