reference,var_in,method,unit_in,var_out,notes
Kenzo2009b,h.t.m,,m,h.t,
Kenzo2009b,h.c.m,,m,h.c,
Kenzo2009b,m.lf.kg,,kg,m.lf,
Kenzo2009b,m.st.kg,,kg,m.st,
Kenzo2009b,m.br.kg,,kg,m.br,
Kenzo2009b,m.rt.kg,,kg,m.rt,
Kenzo2009b,lf.ma.g.m2,,g.m2,lf.ma,
Kenzo2009b,d.st.g.cm3,dstav,g.cm3,d.st,
Kenzo2009b,lai.m2.m2,,m2.m2,lai,
Kohyama1987,H.cm,,cm,h.t,
Kohyama1987,Hl.cm,,cm,h.c,
Kohyama1987,CW1.cm,a,cm,d.cr,
Kohyama1987,CW2.cm,a,cm,d.cr2,
Kohyama1987,m.st,m5,g,m.st,
Kohyama1987,Wbs.g,m5,g,m.br,
Kohyama1987,La.cm2,,cm2,a.lf,
Kohyama1987,leaf.mass,m5,g,m.lf,
Kohyama1990,H.cm,,cm,h.t,
Kohyama1990,Hl.cm,,cm,h.c,
Kohyama1990,Ac.cm2,a,cm2,a.cp,
Kohyama1990,Al.cm2,c,cm2,a.lf,
Kohyama1990,SLA.cm2.g,,cm2.g,lf.ma,
Kohyama1990,Wbs.g,m5,g,m.br,
Kohyama1990,Wl.g,m5,g,m.lf,
Kohyama1990,Ws.g,m5,g,m.st,
Kohyama1990,W.g,m5,g,m.so,
Kohyama1994,H.cm,,cm,h.t,
Kohyama1994,CW1.cm,,cm,d.cr,
Kohyama1994,CW2.cm,,cm,d.cr2,
Kohyama1994,Al.cm2,,cm2,a.lf,
Kohyama1994,Wl.mg,m5,mg,m.lf,
Kohyama1994,Ws.mg,m5,mg,m.st,
Kohyama1994,Wr.mg,m5,mg,m.rt,
Kohyama1994,SLA.cm2.g,,cm2.g,lf.ma,
leMaire2011,age.yr,,yr,age,
leMaire2011,a.lf.m2,c,m2,a.lf,
leMaire2011,a.ss.cm2,,cm2,a.ssba,
leMaire2011,a.st.cm2,x,cm2,a.stbh,
leMaire2011,a.cp.cm,w,cm,d.cr,
leMaire2011,h.t.m,,m,h.t,
leMaire2011,h.c.m,,m,h.c,
leMaire2011,m.lf.kg,m0,kg,m.lf,
leMaire2011,m.br.kg,m0,kg,m.br,
leMaire2011,lf.ma.kg.m2,,kg.m2,lf.ma,
leMaire2011,d.st.g.cm3,,g.cm3,d.st,
leMaire2011,lai.m2.m2,y,m2.m2,lai,
Martin1998,age ,,yr,age,
Martin1998,H,,m,h.t,
Martin1998,dbh,,cm,d.bh,
Martin1998,a.ssbh,j,cm2,a.ssbh,
Martin1998,a.lf,"c,1,2",m2,a.lf,
Martin1998,m.lf,,kg,m.lf,
Martin1998,LMA,,cm2.g,lf.ma,
Martin1998,RHO,,kg.m3,d.st,
Martin1998,m.tot,m1,kg,m.so,
Martin1998,m.ht,m1,kg,m.sh,
Martin1998,m.sa,m1,kg,m.ss,
Martin1998,m.ba,m1,kg,m.sb,
Martin1998,m.st,m1,kg,m.st,
Martin1998,N.sa,,per,n.ss,
Martin1998,N.ht,,per,n.sh,
Martin1998,N.ba,,per,n.sb,
Martin1998,N.lf,,cm2.g,n.lf,multiplied the poriginal percentage with LMA and then converting the units in R
McCulloh2010,lf.A.m2,b,m2,lf.sz,
McCulloh2010,stem.d.mm,,mm,d.bh,
McCulloh2010,sapwd.area.m2,,m2,a.ssbh,
McCulloh2010,height.m,,m,h.t,
Mokany2003,Age,,yr,age,
Mokany2003,a.lf,"c,t",m2,a.lf,
Mokany2003,a.ss,j,m2,a.ssba,
Mokany2003,a.sh,,m2,a.shba,
Mokany2003,a.st,,m2,a.stba,
Mokany2003,h.lf,,m,h.c,
Mokany2003,h.t,,m,h.t,
Mokany2003,m.lf,,kg,m.lf,
Mori1991,DBH..Diameter.at.1.3m.height.,,cm,d.bh,
Mori1991,Tree.Heigh,,m,h.t,
Mori1991,Stem.weight.1,m0,kg,m.st,
Mori1991,Root.weight.1,m0,kg,m.rt,
Mori1991,Branch.weight.1,m0,kg,m.br,
Mori1991,Leaf.weight.1,m0,kg,m.lf,
Mori1991,Leaf.area,"b,1",m2,a.lf,
Mori1991,crown.projection.area.calculated.by.crown.diameter..A.B,z,m2,a.cp,
Mori1991,crown.diameter.A,,m,d.cr,
Mori1991,crown.diameter.B,,m,d.cr,
Myster2009,t.leaf.area,b,cm2,a.lf,
Myster2009,t.height,,cm,h.t,
Myster2009,t.leaf.mass,m7,g,m.lf,
Myster2009,t.stem.mass,m7,g,m.st,
Myster2009,t.root.mass,m7,g,m.rt,
Nouvellon2010,age,,yr,age,
Nouvellon2010,a.lf,c,m2,a.lf,
Nouvellon2010,lf.sz,1,m2,lf.sz,
Nouvellon2010,a.st,,m2,a.stbh,
Nouvellon2010,h.t,,m,h.t,
Nouvellon2010,h.c,,m,h.c,
Nouvellon2010,m.lf,m1,kg,m.lf,
Nouvellon2010,m.st,m1,kg,m.st,
Nouvellon2010,m.sb,m1,kg,m.sb,
Nouvellon2010,m.br,m1,kg,m.br,
Nouvellon2010,lf.ma,a1,kg.m2,lf.ma,
Nouvellon2010,lai,,m2.m2,lai,
O'Hara0000,base.sap,,cm2,a.ssba,
O'Hara0000,bh.sap,,cm2,a.ssbh,
O'Hara0000,cb.sap,,cm2,a.ssbc,
O'Hara0000,leaf.area,,m2,a.lf,
O'Hara0000,dbh,,cm,d.bh,
O'Hara0000,hgt.crown.base.,,m,h.c,
O'Hara0000,basal.diameter,,cm,d.ba,
O'Hara0000,Basal.cross.sectional.area,,cm2,a.stba,
O'Hara0000,height,,m,h.t,
O'Hara1995,h.t,,m,h.t,
O'Hara1995,a.st,,cm2,a.stbh,
O'Hara1995,h.c,,m,h.c,
O'Hara1995,a.ss1,,cm2,a.ssbh,
O'Hara1995,a.lf,c,m2,a.lf,
O'Hara1995,a.ss2,,cm2,a.ssbc,
Osada0000,DBH,,cm,d.bh,
Osada0000,Height,,m,h.t,
Osada0000,Crown.depth,,m,c.d,
Osada0000,Crown.Projection.Area,,m2,a.cp,
Osada0000,Stem.mass,,g,m.st,
Osada0000,Total.leaf.mass,,g,m.lf,
Osada0000,Total.leaf.area,,m2,a.lf,
Osada0000,Individual.leaf.area,,cm2,lf.sz,
Osada0000,SLA,,cm2.g,lf.ma,
Osada0000,LMA,,g.m2,lf.ma,
Osada0000,LAI,,m2.m2,lai,
Osada0000,D0,,mm,d.ba,
Osada0000,light.ISF,li4,-,light,
Osada0000,light.DSF,li4,-,light,
Osada0000,light.GSF,li4,-,light,
Osada2003,DBH,,cm,d.bh,
Osada2003,Height,,m,h.t,
Osada2003,Crown.depth,,m,c.d,
Osada2003,Crown.Projection.Area,,m2,a.cp,
Osada2003,Stem.mass,,g,m.st,
Osada2003,Total.leaf.mass,,g,m.lf,
Osada2003,Total.leaf.area,,m2,a.lf,
Osada2003,Individual.leaf.area,"b,1",cm2,lf.sz,
Osada2003,SLA,,cm2.g,lf.ma,
Osada2003,LMA,,g.m2,lf.ma,
Osada2003,LAI,,m2.m2,lai,
Osada2003,D0,,mm,d.ba,
Osada2003,light.ISF,li4,-,light,
Osada2003,light.DSF,li4,-,light,
Osada2003,light.GSF,li4,-,light,
Osada2005,DBH,,cm,d.bh,
Osada2005,Height,,m,h.t,
Osada2005,Crown.depth,,m,c.d,
Osada2005,Crown.Projection.Area,a,m2,a.cp,
Osada2005,Stem.mass,,g,m.st,
Osada2005,Total.leaf.mass,,g,m.lf,
Osada2005,Total.leaf.area,c,m2,a.lf,
Osada2005,Individual.leaf.area,"b,1",cm2,lf.sz,
Osada2005,SLA,,cm2.g,lf.ma,
Osada2005,LMA,,g.m2,lf.ma,
Osada2005,LAI,,m2.m2,lai,
Osada2005,D0,,mm,d.ba,
Osada2005,light.ISF,li4,-,light,
Osada2005,light.DSF,li4,-,light,
Osada2005,light.GSF,li4,-,light,
Osunkoya2007,Dbh_2004,,cm,d.bh,
Osunkoya2007,tree_ht,,m,h.t,
Osunkoya2007,Fork_ht,,m,h.c,
Osunkoya2007,crown_depth,,m,c.d,
Osunkoya2007,cr_width,,m,d.cr,
Osunkoya2007,crown_sil_area,a,m2,a.cp,
Petritan2009,Total.leaf.area..cm2.,"c,t",cm2,a.lf,
Petritan2009,Mean.leaf.area..cm2.,"b,1",cm2,lf.sz,
Petritan2009,Area.of.total.stem.cross.section..basal.area..mm2.,,mm2,a.stba,
Petritan2009,Crown.projected.area..cm2.,a,cm2,a.cp,
Petritan2009,Height.to.crown.base..cm.,,cm,h.c,
Petritan2009,Crown.lenght..cm.,,cm,c.d,
Petritan2009,Total.height.of.plant..cm.,,cm,h.t,
Petritan2009,Specific.leaf.area..cm2.g.1.,,cm2.g,lf.ma,
Petritan2009,ISF..percent...Indirect.Site.Factor..in.percent.of.above.canopy.light,li,-,light,
Petritan2009,LAI..cm2.cm.2.,,m2.m2,lai,
Ribeiro2011,Wood.density..g.cm.3.,,g.cm3,d.st,
Ribeiro2011,dbh..cm.,,cm,d.bh,
Ribeiro2011,Total.height..m.,,m,h.t,
Ribeiro2011,Wood.mass..kg........bole...branches.,m5,kg,m.st,
Ribeiro2011,Leaf.mass..kg.,m1,kg,m.lf,
Rodriguez2003,Dbh,,cm,d.bh,
Rodriguez2003,Total_height,,m,h.t,
Rodriguez2003,Sapwood_area,j,cm2,a.ssbh,
Rodriguez2003,Leaf_area,"r,c,t",cm2,a.lf,
Rodriguez2003,Branches,m5,kg,m.br,
Rodriguez2003,Needles,m5,kg,m.lf,
Rodriguez2003,Bark_Stemwood,m5,kg,m.st,
Rodriguez2003,Bark,m5,kg,m.sb,
Rodriguez2003,Fine_roots,m5,kg,m.rf,
Rodriguez2003,Coarse_roots,m5,kg,m.rc,
Rodriguez2003,SLA_Lower_third,,cm2.kg,lf.ma,
Rodriguez2003,SLA_Middle_Third,,cm2.kg,lf.ma,
Rodriguez2003,SLA_Upper_third,,cm2.kg,lf.ma,
Roeh1997,a.stbh,,m2,a.stbh,
Roeh1997,h.t,,m,h.t,
Roeh1997,h.c,,m,h.c,
Roeh1997,m.lf,,kg,m.lf,
Roeh1997,a.lf,,m2,a.lf,
Roeh1997,a.ssbh,,m2,a.ssbh,
Roeh1997,a.ssbc,,m2,a.ssbc,
Salazar2010,DBH,,cm,d.bh,
Salazar2010,Height,,m,h.t,
Salazar2010,Leaf_biomass,m5,kg,m.lf,
Salazar2010,Branch_biomass,m5,kg,m.br,
Salazar2010,Stem_biomass,m5,kg,m.st,
Salazar2010,Total_biomass,m5,kg,m.so,
SantaRegina1999,DBH,,cm,d.bh,
SantaRegina1999,Height,,m,h.t,
SantaRegina1999,Leaf_biomass,m5,kg,m.lf,
SantaRegina1999,Branch_biomass,m5,kg,m.br,
SantaRegina1999,Stem_biomass,m5,kg,m.st,
SantaRegina1999,Total.biomass,m5,kg,m.so,
Selaya2007,Age,,yr,age,
Selaya2007,a.lf,,m2,a.lf,
Selaya2007,lf.sz,a2,cm2,lf.sz,
Selaya2007,a.st,i2,m2,a.stbh,
Selaya2007,h.t,,m,h.t,
Selaya2007,h.c,,m,h.c,
Selaya2007,m.lf,,g,m.lf,
Selaya2007,m.st,,g,m.st,
Selaya2007,m.br.2.,br1,g,m.br,
Selaya2007,lf.ma.1.,a1,g.m2,lf.ma,
Selaya2007,d.st,,g.cm3,d.st,
Selaya2007,n.lf,a1,mmol.N.m2,n.lf,
Selaya2007,light,li2,-,light,
Selaya2008,Age,,yr,age,
Selaya2008,a.lf,,m2,a.lf,
Selaya2008,lf.sz,a2,cm2,lf.sz,
Selaya2008,a.st,i2,m2,a.stbh,
Selaya2008,h.t,,m,h.t,
Selaya2008,h.c,,m,h.c,
Selaya2008,m.lf,,g,m.lf,
Selaya2008,m.st,,g,m.st,
Selaya2008,m.br.2.,br1,g,m.br,
Selaya2008,lf.ma.1.,a1,g.m2,lf.ma,
Selaya2008,d.st,,g.cm3,d.st,
Selaya2008,n.lf,a1,mmol.N.m2,n.lf,
Selaya2008,light,li2,-,light,
Selaya2008b,Age,,yr,age,
Selaya2008b,a.lf,,m2,a.lf,
Selaya2008b,lf.sz,a2,cm2,lf.sz,
Selaya2008b,a.st,i2,m2,a.stbh,
Selaya2008b,h.t,,m,h.t,
Selaya2008b,h.c,,m,h.c,
Selaya2008b,m.lf,,g,m.lf,
Selaya2008b,m.st,,g,m.st,
Selaya2008b,m.br.2.,br1,g,m.br,
Selaya2008b,lf.ma.1.,a1,g.m2,lf.ma,
Selaya2008b,d.st,,g.cm3,d.st,
Selaya2008b,n.lf,a1,mmol.N.m2,n.lf,
Selaya2008b,light,li2,-,light,
Sillett2010,Minimum.Age..year.,,yr,age,
Sillett2010,Height..m.,,m,h.t,
Sillett2010,Dbh..cm.,,cm,d.bh,
Sillett2010,Dry.mass..Mg.,m1,Mg,m.so,
Sillett2010,Heartwood.area..m2.,"j,m1",m2,a.shbh,
Sillett2010,Bark.area..m2.,"j,m1",m2,a.babh,
Sillett2010,Leaf.dry.mass..kg.,m1,kg,m.lf,
Stancioiu2005,dbh,,cm,d.bh,
Stancioiu2005,hgt,,m,h.t,
Stancioiu2005,hgt.crown.base,,m,h.c,
Stancioiu2005,foliage.mass,,kg,m.lf,
Stancioiu2005,BH.Sapwood.area,,cm2,a.ssbh,
Stancioiu2005,BLC.sapwood.area,,cm2,a.ssbc,
Stancioiu2005,Leaf.Area,,m2,a.lf,
Lusk0000a,a.lf,,m2,a.lf,
Lusk0000a,h.t,,m,h.t,
Lusk0000a,m.lf,m0,kg,m.lf,
Lusk0000a,m.st,m0,kg,m.st,
Lusk0000a,m.rt,m0,kg,m.rt,
Lusk0000a,lf.sz,,m2,lf.sz,
Lusk0000a,a.cs,,m2,a.cs,
Lusk0000a,h.c,,m,h.c,
Lusk0000a,a.cp,,m2,a.cp,
Lusk0000a,d.ba,d,m,d.ba,
Lusk0000b,a.lf,,m2,a.lf,
Lusk0000b,h.t,,m,h.t,
Lusk0000b,m.lf,m0,kg,m.lf,
Lusk0000b,m.st,m0,kg,m.st,
Lusk0000b,m.rt,m0,kg,m.rt,
Lusk2002,a.lf,,m2,a.lf,
Lusk2002,h.t,,m,h.t,
Lusk2002,m.lf,m0,kg,m.lf,
Lusk2002,m.st,m0,kg,m.st,
Lusk2002,m.rt,m0,kg,m.rt,
Lusk2004,a.lf,,m2,a.lf,
Lusk2004,h.t,,m,h.t,
Lusk2004,m.lf,m0,kg,m.lf,
Lusk2004,m.st,m0,kg,m.st,
Lusk2004,m.rt,m0,kg,m.rt,
Lusk2011,a.lf,,m2,a.lf,
Lusk2011,h.t,,m,h.t,
Lusk2011,m.lf,m0,kg,m.lf,
Lusk2011,m.st,m0,kg,m.st,
Lusk2011,m.rt,m0,kg,m.rt,
Lusk2011,lf.sz,,m2,lf.sz,
Lusk2011,a.cs,,m2,a.cs,
Lusk2011,h.c,,m,h.c,
Lusk2011,a.cp,,m2,a.cp,
Lusk2011,d.ba,d,m,d.ba,
Lusk2012,a.lf,,m2,a.lf,
Lusk2012,h.t,,m,h.t,
Lusk2012,m.lf,m0,kg,m.lf,
Lusk2012,m.st,m0,kg,m.st,
Lusk2012,m.rt,m0,kg,m.rt,
Lusk2012,lf.sz,,m2,lf.sz,
Lusk2012,a.cs,,m2,a.cs,
Lusk2012,h.c,,m,h.c,
Lusk2012,a.cp,,m2,a.cp,
Lusk2012,d.ba,d,m,d.ba,
Sterck0000,height..m.,,m,h.t,
Sterck0000,Crown.depth..m.,,m,c.d,
Sterck0000,Crown.area..m2.,,m2,a.cs,
Sterck0000,Individual.leaf.area..cm2.,,cm2,lf.sz,
Sterck0000,Total.leaf.area..m2.,,m2,a.lf,
Sterck0000,LMA..g.cm.2.,,g.cm2,lf.ma,
Sterck0000,WD..g.cm3.,,g.cm3,d.st,
Sterck2001,Diam,,cm,d.bh,
Sterck2001,Ht,,m,h.t,"height (m) using a measurement tape, and thus by climbing neigbouring trees for the larger focal trees"
Sterck2001,Ht2,,m,h.c,"height of the lowest leaf, but considered part of the crown, so not a single leaf sprouting from the stem base while the rest of the leafy crown starts at 20 m."
Sterck2001,CW1,,m,d.cr,
Sterck2001,CW2,,m,d.cr2,
Sterck2001,TLA,c1,m2,a.lf,"total leaf area (m2) is calculated by multiplying the number of leaves with the mean leaf area of a random leaf sample (20 leaves for taller individuals, but smaller samples for small individuals)"
Sterck2001,LA,,cm2,lf.sz,"leaf area (cm2) is the average area of a single leaf, based on the average area of a leaf sample of 20 leaves."
Sterck2001,SLA,,cm2.g,lf.ma,
Sterck2001,PAR,li,-,light,
Valladares2000,a.cs,,m2,a.cs,
Valladares2000,h.c,,m,h.c,
Valladares2000,h.t,,m,h.t,
Valladares2000,a.lf,,m2,a.lf,
Valladares2000,lf.sz,,m2,lf.sz,
Valladares2000,m.t,,kg,m.to,
Valladares2000,m.lf,,kg,m.lf,
Valladares2000,d.st,a2,kg.m3,d.st,
Valladares2000,lf.ma,a3,kg.m2,lf.ma,
Valladares2000,a.cp,,m2,a.cp,
Wang1995,DBH..cm.,,cm,d.bh,
Wang1995,HEIGHT..m.,,m,h.t,
Wang1995,LEAF..kg.,m1,kg,m.lf,
Wang1995,BRANCH..kg.,m1,kg,m.br,
Wang1995,STEMWOOD..kg.,m1,kg,m.st,
Wang1995,STEMBARK..kg.,m1,kg,m.sb,
Wang1995,TOTAL_ABOVE..kg.,m1,kg,m.so,
Wang1996,DBH..cm.,,cm,d.bh,
Wang1996,HEIGHT..m.,,m,h.t,
Wang1996,LEAF..kg.,m1,kg,m.lf,
Wang1996,BRANCH..kg.,m1,kg,m.br,
Wang1996,STEMWOOD..kg.,m1,kg,m.st,
Wang1996,STEMBARK..kg.,m1,kg,m.sb,
Wang1996,TOTAL_ABOVE..kg.,m1,kg,m.so,
Wang2000,Dia...mm.,,mm,d.ba,
Wang2000,D.B.H..mm.,,mm,d.bh,
Wang2000,Hieght..cm.,,cm,h.t,
Wang2000,Branch..cm.,,cm,h.c,
Wang2000,Foliage,m1,g,m.lf,
Wang2000,Branch,m1,g,m.br,
Wang2000,Dead.Branch,m1,g,m.br,
Wang2000,Stem.Wood,m1,g,m.st,
Wang2000,Stem.Bark,m1,g,m.sb,
Wang2000,m.rc,m1,g,m.rc,
Wang2000,Sm..Root,m1,g,m.rf,
Wang2000,TOTAL,m1,g,m.to,
Wang2011,Plant.height..cm.,,cm,h.t,
Wang2011,Stem.diameter.at.base..cm.,,cm,d.ba,
Wang2011,Total.dry.mass..g.,m0,g,m.to,
Wang2011,Dry.mass.of.main.stem..g.,m0,g,m.st,
Wang2011,Dry.mass.of.branches..g.,m0,g,m.br,
Wang2011,Total.leaf.dry.mass..g.,m0,g,m.lf,
Wang2011,Total.leaf.area.cm2.,,cm2,a.lf,
Wang2011,Total.fresh.mass..g.,m6,g,m.to,
Wang2011,Fresh.mass.of.main.stem..g.,m6,g,m.st,
Wang2011,Fresh.mass.of.branches..g.,m6,g,m.br,
Wang2011,Total.leaf.fresh.mass..g.,m6,g,m.lf,
Yamada1996,tree.height..cm.,,cm,h.t,
Yamada1996,height.at.the.lowest.leaf..or.branch...cm.,,cm,h.c,
Yamada1996,diameter.at.the.ground.level..cm.,,cm,d.ba,
Yamada1996,diameter.at.breast.height..at.130.cm.from.the.ground...cm.,,cm,d.bh,
Yamada1996,crown.projection.area..cm2.,,cm2,a.cp,
Yamada1996,stem.dry.mass..g.,m0,g,m.st,
Yamada1996,leaf.dry.mass..g.,m0,g,m.lf,
Yamada1996,branch.dry.mass..g.,m0,g,m.br,
Yamada1996,total.above.ground.mass..g.,m0,g,m.so,
Yamada2000,tree.height..cm.,,cm,h.t,
Yamada2000,height.at.the.lowest.leaf..or.branch...cm.,,cm,h.c,
Yamada2000,diameter.at.the.ground.level..cm.,,cm,d.ba,
Yamada2000,diameter.at.breast.height..at.130.cm.from.the.ground...cm.,,cm,d.bh,
Yamada2000,crown.projection.area..cm2.,a,cm2,a.cp,
Yamada2000,stem.dry.mass..g.,m5,g,m.st,
Yamada2000,leaf.dry.mass..g.,m5,g,m.lf,
Yamada2000,branch.dry.mass..g.,m5,g,m.br,
Yamada2000,total.above.ground.mass..g.,m5,g,m.so,
Aiba2007,total.root.mass..g.,m0,g,m.rt,
Aiba2007,total.stem.mass..g.,m0,g,m.st,
Aiba2007,branch.mass..g.,m0,g,m.br,
Aiba2007,total.leaf.mass..g.,m0,g,m.lf,
Aiba2007,total.leaf.area..cm.2.,,cm2,a.lf,
Aiba2007,individual.leaf.area..cm.2.,b,cm2,lf.sz,
Aiba2007,height..cm.,,cm,h.t,
Aiba2007,crown.area..cm.2.,,cm2,a.cp,
Aiba2007,crown.height..cm.,,cm,h.c,
Aiba2007,base.diameter..mm.,,mm,d.ba,
Delagrange2004,Age,,yr,age,
Delagrange2004,LeafArea,"c,1",cm2,a.lf,
Delagrange2004,Diam.at.colar.height,,cm,d.bh,
Delagrange2004,CrownWidth,,cm,c.d,
Delagrange2004,h.t,,cm,h.t,
Delagrange2004,h.c,,cm,h.c,
Delagrange2004,m.lf,m1,g,m.lf,
Delagrange2004,m.st,m1,g,m.st,
Delagrange2004,m.br,m1,g,m.br,
Delagrange2004,m.rf,m1,g,m.rf,
Delagrange2004,m.rc,m1,g,m.rc,
Delagrange2004,m.rt,m1,g,m.rt,
Delagrange2004,lf.ma,,g.m2,lf.ma,
Delagrange2004,d.st,,g.l,d.st,
Delagrange2004,n.lf,,g.m2,n.lf,
