dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.15,7.2,NA,0.318471338,NA,NA,9.298405555,NA,NA,NA,252.6378828,397.4344347,135.4981463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,4,NA,0.275477707,NA,NA,5.098302184,NA,NA,NA,202.4749126,251.4611661,43.88795136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,5.6,NA,0.1,NA,NA,1.341745091,NA,NA,NA,17.42730525,22.42359945,3.65454911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,3.4,NA,0.171974522,NA,NA,3.014375041,NA,NA,NA,83.81681194,119.7474374,32.91625046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,15.2,NA,0.442675159,NA,NA,11.89704142,NA,NA,NA,671.9430981,862.1451141,178.3049746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,5.1,NA,0.251592357,NA,NA,3.357821034,NA,NA,NA,160.3534237,198.1192711,34.40802639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.65,NA,0.047770701,NA,NA,0.303296546,NA,NA,NA,2.805760533,3.916957079,0.8079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Araliaceae,Kalopanax septemlobus,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7,7.6,NA,0.449044586,NA,NA,10.91739507,NA,NA,NA,743.5087321,956.1741417,201.7480145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,13.6,NA,0.378343949,NA,NA,13.98432884,NA,NA,NA,571.79374,755.4282864,169.6502176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,15.3,NA,0.263375796,NA,NA,8.101377027,NA,NA,NA,384.7935899,473.2695974,80.3746305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,13.5,NA,0.192038217,NA,NA,2.292054669,NA,NA,NA,142.1116875,175.5865824,31.18284019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,13.2,NA,0.175159236,NA,NA,2.405306295,NA,NA,NA,107.6372341,136.7262116,26.68367118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,11.2,NA,0.135031847,NA,NA,0.867337886,NA,NA,NA,57.31685752,66.91948011,8.735284715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,15.6,NA,0.213694268,NA,NA,4.203920729,NA,NA,NA,220.9483115,256.6025151,31.45028283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,17,NA,0.194267516,NA,NA,1.465825882,NA,NA,NA,177.9488116,195.7105189,16.29588139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Betulaceae,Betula platyphylla,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4,15.5,NA,0.259872612,NA,NA,5.976152453,NA,NA,NA,312.3432406,372.9675152,54.64812213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
