Age,status,pft,RootsEstimated,family,species,latitude,longitude,growingCondition,vegetation,grouping,location,,DBH (cm),Height (m),N bole,N bark,N sapwood,N heartwood,N rotten wood,N branches sapwood,N branches bark,N branches heartwood,N branches rotten wood ,total N sapwood,Total N bark ,total N heartwood,total N rotten wood ,N leaf,N small branches,Total aerial N,N fine roots,N medium roots,N coarse roots,total N underground ,total N (g N/tree),bole mass,bark bole mass,Sapwood mass,Heartwood mass,rotten wood mass,branches sapwood mass,branches bark mass,branches heartwood mass,branches rotten wood,total sapwood,Total bark mass,total heartwood,total rotten wood,leaf mass,small branches mass,total areal mass,fine roots mass,medium roots mass,coarse roots mass,total underground mass,total mass/tree 
155,0,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,10.3,3,49.0865,9.7356,14.0353,22.9026,2.413,11.42945,3.9501,,,25.46475,13.6857,,,20.77023,9.7451,94.98138,0.5983936,6.0003976,23.0199592,29.6187504,124.6001304,46.29463659,4.880759307,0.330659526,34.66160282,6.421614932,1.208999856,0.432838715,0,,1.539659382,5.313598022,34.66160282,,0.408688,1.185408,49.53057116,0.094752,2.463552,13.233696,15.792,65.32257116
165,0,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,11.4,3.5,54.2535,10.7604,15.5127,25.3134,2.667,12.63255,4.3659,,,28.14525,15.1263,,,22.95657,10.7709,104.97942,0.6613824,6.6320184,25.4431128,32.7365136,137.7159336,53.73484604,5.665167053,0.383801235,40.23221756,7.453660188,1.403303405,0.50240208,0,,1.78710464,6.167569133,40.23221756,,0.47437,1.37592,57.49084153,0.10998,2.85948,15.36054,18.33,75.82084153
41,3,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,7.5,5.6,27.66424,4.224,22.92,0.5177,0.00254,2.27,0.756,,,25.19,4.98,,,28.728,12.1536,71.57184,0.678,5.225,6.048,11.951,83.52284,31.0843096,4.74195608,15.48294371,10.85940981,0,13.07224903,5.662331798,8.775505728,,28.55519274,10.40428788,19.63491554,,2.265,5.55,66.40939615,0.464148837,8.631836104,17.36391989,26.45990483,92.86930098
40,3,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,6.7,5,24.897816,3.8016,20.628,0.46593,0.002286,2.043,0.6804,,,22.671,4.482,,,25.8552,10.93824,64.414656,0.6102,4.7025,5.4432,10.7559,75.170556,22.71071611,3.831847998,13.85093886,5.027929251,0,3.428901257,1.798633061,0.399749958,,17.27984012,5.630481059,5.427679209,,2.076,5.386,35.80000038,0.476862152,6.146641032,8.179307954,14.80281114,50.60281152
42,3,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,8.2,5.5,30.430664,4.6464,25.212,0.56947,0.002794,2.497,0.8316,,,27.709,5.478,,,31.6008,13.36896,78.729024,0.7458,5.7475,6.6528,13.1461,91.875124,30.75863476,5.453249492,17.80538527,7.5,0,9.5,4.7,6.5,,27.30538527,10.15324949,14,,2.60475,6.3825,60.44588476,0.533771163,9.92661152,19.96850787,30.42889055,90.87477531
38,2,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,6,4.8,13.5393,3.1856,7.665,2.6887,0,0.4994,0.1323,,,8.1644,3.3179,,,5.6235,2.3736,22.1681,0.3731712,2.84746,3.3040512,6.5246824,28.6927824,22.82490713,4.09,12.62,6.114907134,0,2.7,1.81,1.06,,15.32,5.9,7.174907134,,1.182,3.673,33.24990713,0.476,5.8,11.9,18.176,51.42590713
36,2,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,5.4,4.5,12.049977,2.835184,6.82185,2.392943,0,0.444466,0.117747,,,7.266316,2.952931,,,5.004915,2.112504,19.729609,0.332122368,2.5342394,2.940605568,5.806967336,25.53657634,15.755,2.609,10.566,2.58,0,6.06,1.06,0.009,,16.626,3.669,2.589,,1.079,2.317,26.28,0.281,3.27,5.508,9.059,35.339
39,2,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,6.7,4.8,15.028623,3.536016,8.50815,2.984457,0,0.554334,0.146853,,,9.062484,3.682869,,,6.242085,2.634696,24.606591,0.414220032,3.1606806,3.667496832,7.242397464,31.84898846,18.11825,3.00035,12.1509,2.967,0,6.969,1.219,0.01035,,19.1199,4.21935,2.97735,,1.24085,2.66455,30.222,0.32315,3.7605,8.15,12.23365,42.45565
38,1,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,4.5,4.4,5.9732,2.0996,3.1388,0.7348,0,0.227,0.0756,,,3.3658,2.1752,,,5.2884,2.9694,14.5336,0.2191296,1.672055,1.9401696,3.8313542,18.3649542,15.5733,2.2063,7.99,5.377,0,1.321167464,0.968,0.005,,9.311167464,3.1743,5.382,,0.512,1.906,20.28546746,0.447,5.607,4.055,10.109,30.39446746
36,1,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,4,4,5.37588,1.88964,2.82492,0.66132,0,0.2043,0.06804,,,3.02922,1.95768,,,4.75956,2.67246,13.08024,0.19721664,1.5048495,1.74615264,3.44821878,16.52845878,11.81300832,2.0575,5.9326,3.822908321,0,1.306,0.91,0.768,,7.2386,2.9675,4.590908321,,0.2433,0.81,15.85030832,0.4321,4.085,7.828,12.3451,28.19540832
39,1,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,4.9,4.3,6.57052,2.30956,3.45268,0.80828,0,0.2497,0.08316,,,3.70238,2.39272,,,5.81724,3.26634,15.98696,0.24104256,1.8392605,2.13418656,4.21448962,20.20144962,10.04105707,1.748875,5.04271,3.249472073,0,1.1101,0.7735,0.6528,,6.15281,2.522375,3.902272073,,0.206805,0.6885,13.47276207,0.367285,3.47225,6.6538,10.493335,23.96609707
40,0,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,2.2,3.52,2.3464,0.8326,1.2702,0.2436,0,0.0454,0.01512,,,1.3156,0.84772,,,0.638,0.7359,3.78082,0.0694272,0.52976,0.6147072,1.2138944,4.9947144,5.29141013,1.231101107,2.594734943,1.46557408,0,0.675330376,0.392646272,0.212,,3.270065319,1.623747378,1.67757408,,0.962,2.041,9.574386777,0.3344,2.379332483,2.839,5.552732483,15.12711926
39,0,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,2,3.3,2.088296,0.741014,1.130478,0.216804,0,0.040406,0.0134568,,,1.170884,0.7544708,,,0.56782,0.654951,3.3649298,0.061790208,0.4714864,0.547089408,1.080366016,4.445295816,3.7646,0.875,1.5146,1.375,0,0.347208526,0.137412006,0,,1.861808526,1.012412006,1.375,,0.42324,0.9117,5.584160532,0.352,3.64,1.901,5.893,11.47716053
42,0,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,2.5,3.45,2.604504,0.924186,1.409922,0.270396,0,0.050394,0.0167832,,,1.460316,0.9409692,,,0.70818,0.816849,4.1967102,0.077064192,0.5880336,0.682324992,1.347422784,5.544132984,1.838156111,0.460236648,1.25770053,0.120218933,0,0.658719173,0.140877183,0,,1.916419703,0.601113831,0.120218933,,0.28072,0.8172,3.735672467,0.30535,2.47235,7.0723,9.85,13.58567247
22,3,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0.8,1.76,0.74986,0.38332,0.36654,0,0,0.10215,0.03402,,,0.46869,0.41734,,,2.23245,1.6544,4.77288,0.2912,2.12,0.868,3.2792,8.05208,2.021971722,0.506260313,1.383470583,0.132240827,0,0.72459109,0.154964901,0,,2.108061673,0.661225214,0.132240827,,0.308792,0.89892,4.109239714,0.335885,2.719585,7.77953,10.835,14.94423971
21,3,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0.8,1.5,0.674874,0.344988,0.329886,0,0,0.091935,0.030618,,,0.421821,0.375606,,,2.009205,1.48896,4.295592,0.26208,1.908,0.7812,2.95128,7.246872,2.389602944,0.598307642,1.635010689,0.156284613,0,0.856334925,0.183140338,0,,2.491345614,0.78144798,0.156284613,,0.364936,1.06236,4.856374207,0.396955,3.214055,9.19399,12.805,17.66137421
23,3,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,1,1.68,0.824846,0.421652,0.403194,0,0,0.112365,0.037422,,,0.515559,0.459074,,,2.455695,1.81984,5.250168,0.32032,2.332,0.9548,3.60712,8.857288,0.990607935,0.236021158,0.428958245,0.325628533,0,0.587677364,0.194685753,0,,1.016635609,0.430706911,0.325628533,,0.27972,0.87822,2.930911053,0.2418,1.9584,5.5932,7.7934,10.72431105
16,2,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,1.35,0.31217,0.13986,0.12555,0.04676,0,0,0,,,0.12555,0.13986,,,0.61128,0.38688,1.31033,0.081872,0.5961864,0.2435391,0.9215975,2.2319275,1.139199125,0.271424331,0.493301981,0.374472813,0,0.675828969,0.223888616,0,,1.16913095,0.495312948,0.374472813,,0.321678,1.009953,3.370547711,0.27807,2.25216,6.43218,8.96241,12.33295771
15,2,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,1.2,0.2747096,0.1230768,0.110484,0.0411488,0,0,0,,,0.110484,0.1230768,,,0.5379264,0.3404544,1.1530904,0.07204736,0.524644032,0.214314408,0.8110058,1.9640962,1.238259919,0.295026447,0.536197806,0.407035666,0,0.734596706,0.243357192,0,,1.270794511,0.538383639,0.407035666,,0.34965,1.097775,3.663638816,0.49619375,2.448,6.9915,9.93569375,13.59933257
16,2,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,1.29,0.3496304,0.1566432,0.140616,0.0523712,0,0,0,,,0.140616,0.1566432,,,0.6846336,0.4333056,1.4675696,0.09169664,0.667728768,0.272763792,1.0321892,2.4997588,1.182210819,0.180582684,0.788742585,0.212885549,0,0.425972738,0.105169212,0,,1.214715323,0.285751896,0.212885549,,0.180964,0.684488,2.578804769,0.2139,1.7319,4.9542,6.9,9.478804769
15,1,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,1.01,0.1456,0.0777,0.0679,0,0,0,0,,,0.0679,0.0777,,,0.43838,0.29158,0.87556,0.045696,0.3327552,0.1359288,0.51438,1.38994,1.063989737,0.162524416,0.709868327,0.191596994,0,0.383375464,0.094652291,0,,1.093243791,0.257176707,0.191596994,,0.1628676,0.6160392,2.320924292,0.19251,1.55871,4.45878,6.21,8.530924292
15,1,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,0.9,0.13832,0.073815,0.064505,0,0,0,0,,,0.064505,0.073815,,,0.416461,0.277001,0.831782,0.0434112,0.31611744,0.12913236,0.488661,1.320443,0.886658114,0.135437013,0.591556939,0.159664162,0,0.319479553,0.078876909,0,,0.911036492,0.214313922,0.159664162,,0.135723,0.513366,1.934103577,0.160425,1.298925,3.71565,5.175,7.109103577
15,1,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,1.1,0.15288,0.081585,0.071295,0,0,0,0,,,0.071295,0.081585,,,0.460299,0.306159,0.919338,0.0479808,0.34939296,0.14272524,0.540099,1.459437,0.492917007,0.155342038,0.160546223,0.177028746,0,0.016591945,0.008694672,0,,0.177138168,0.16403671,0.177028746,,0.021054,0.065376,0.604633624,0.0496,0.4016,1.1488,1.6,2.204633624
21,0,DA,,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,0.8,0.095256,0.0518,0.043456,0,0,0,0,,,0.043456,0.0518,,,0.17072,0.16976139,0.43573739,0.024752,0.1802424,0.0736281,0.2786225,0.71435989,0.591500408,0.186410446,0.192655468,0.212434495,0,0.019910334,0.010433606,0,,0.212565801,0.196844052,0.212434495,,0.0252648,0.0784512,0.725560348,0.05952,0.48192,1.37856,1.92,2.645560348
21,0,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,0.6,0.08763552,0.047656,0.03997952,0,0,0,0,,,0.03997952,0.047656,,,0.1570624,0.156180479,0.400878399,0.02277184,0.165823008,0.067737852,0.2563327,0.657211099,0.443625306,0.139807834,0.144491601,0.159325871,0,0.01493275,0.007825205,0,,0.159424351,0.147633039,0.159325871,,0.0189486,0.0588384,0.544170261,0.04464,0.36144,1.03392,1.44,1.984170261
22,0,DA,y,Fagaceae,Nothofagus antarctica,-51.56666667,-72.23333333,FW,Tempf,site2_site_classIV,"southern west of Santa Cruz province, Argentina",,0,0.7,0.10287648,0.055944,0.04693248,0,0,0,0,,,0.04693248,0.055944,,,0.1843776,0.183342301,0.470596381,0.02673216,0.194661792,0.079518348,0.3009123,0.771508681,162.4,20.2,61.8,76.2,4.2,48.3,12.9,,,110.1,33.1,,,7.92,16.93,248.45,1.7,18,93.8,113.5,361.95
188,3,DA,,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,22.5,5.3,171.7503804,45.5636959,46.55906765,67.5143581,12.11325873,72.26803487,21.97843927,12.42192654,2.098831104,118.8271025,67.54213517,79.93628464,14.21208983,41.143518,40.880736,362.5418662,2.7100944,45.8596008,212.8464,261.4160952,623.9579614,146.16,18.18,55.62,68.58,3.78,43.47,11.61,,,99.09,29.79,,,7.128,15.237,223.605,1.53,16.2,84.42,102.15,325.755
184,3,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,24.795,5.8406,189.2689192,50.21119288,51.30809255,74.40082262,13.34881112,79.63937443,24.22024008,13.68896305,2.312911877,130.947467,74.43143296,88.08978567,15.661723,45.34015684,45.05057107,399.5211365,2.986524029,50.53728008,234.5567328,288.0805369,687.6016734,178.64,22.22,67.98,83.82,4.62,53.13,14.19,,,121.11,36.41,,,8.712,18.623,273.295,1.87,19.8,103.18,124.85,398.145
182,3,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,20.475,4.823,156.2928461,41.46296327,42.36875156,61.43806587,11.02306544,65.76391173,20.00037974,11.30395315,1.909936305,108.1326633,61.46334301,72.74201902,12.93300175,37.44060138,37.20146976,329.9130982,2.466185904,41.73223673,193.690224,237.8886466,567.8017448,149,32.5,32,81.1,3.4,18.8,6.4,,,50.8,38.9,,,2.33,4.95,181.48,1.304,12.877,67.319,81.5,262.98
182,2,DA,,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,20.5,4.5,87.53933332,20.70654894,10.92100759,43.89854961,12.01322718,35.34123563,13.69288942,8.138690707,1.193475655,46.26224322,34.39943837,52.03724031,13.20670284,36.909652,25.959648,208.7749247,1.383010307,23.76586234,111.3041956,136.4530683,345.227993,135.59,29.575,29.12,73.801,3.094,17.108,5.824,,,46.228,35.399,,,2.1203,4.5045,165.1468,1.18664,11.71807,61.26029,74.165,239.3118
176,2,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,21,4.95,96.29326665,22.77720384,12.01310835,48.28840457,13.2145499,38.87535919,15.06217837,8.952559777,1.312823221,50.88846754,37.8393822,57.24096435,14.52737312,40.6006172,28.5556128,229.6524172,1.181859827,20.30926149,95.11567398,116.6067953,346.2592125,162.41,35.425,34.88,88.399,3.706,20.492,6.976,,,55.372,42.401,,,2.5397,5.3955,197.8132,1.42136,14.03593,73.37771,88.835,286.6482
178,2,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,20.4,4.725,105.0472,24.84785873,13.10520911,52.67825953,14.41587262,42.40948276,16.43146731,9.766428848,1.432170786,55.51469187,41.27932604,62.44468838,15.8480434,44.2915824,31.1515776,250.5299097,1.28930163,22.15555799,103.7625534,127.2074131,377.7373227,80.1,17.7,14.3,45,3.1,13.6,4,,,27.9,21.7,,,1.93,4.08,103.71,0.7456,7.3628,38.4916,46.6,150.31
144,1,DA,,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,13.7,3.95,50.92842949,12.70220692,18.56645002,15.91372588,3.746046674,33.28025912,13.27856924,5.288971199,0.022951455,51.84670914,25.98077615,21.20269708,3.768998128,32.063122,24.023142,158.8854445,0.93954441,16.145276,75.61421223,92.69903264,251.5844771,70.488,15.576,12.584,39.6,2.728,11.968,3.52,,,24.552,19.096,,,1.6984,3.5904,91.2648,0.656128,6.479264,33.872608,41.008,132.2728
172,1,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,16.44,4.6,61.11411539,15.2426483,22.27974002,19.09647106,4.495256008,39.93631094,15.93428308,6.346765438,0.027541746,62.21605097,31.17693138,25.4432365,4.522797754,38.4757464,28.8277704,190.6625334,0.819225996,14.07770582,65.9310275,80.82795932,271.4904927,89.712,19.824,16.016,50.4,3.472,15.232,4.48,,,31.248,24.304,,,2.1616,4.5696,116.1552,0.835072,8.246336,43.110592,52.192,168.3472
167,1,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,15.07,4.345,56.02127244,13.97242761,20.42309502,17.50509847,4.120651341,36.60828503,14.60642616,5.817868318,0.0252466,57.03138005,28.57885377,23.32296679,4.145897941,35.2694342,26.4254562,174.773989,0.750957163,12.90456367,60.43677521,74.09229604,248.866285,23.3,4.2,8.3,9.8,1,5.3,2.2,,,13.6,6.4,,,0.78,2.3,33.88,0.2432,2.4016,12.5552,15.2,49.08
150,0,DA,,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,13,3.3,36.45499746,6.727154408,1.18372417,21.28722331,7.25689557,5.13237967,1.274726251,0.690871999,0.083419711,6.31610384,8.00188066,21.97809531,7.340315281,13.28915,8.544575,65.47012009,0.457353308,7.85922976,36.80763754,45.12422061,110.5943407,22.135,3.99,7.885,9.31,0.95,5.035,2.09,,,12.92,6.08,,,0.741,2.185,32.186,0.23104,2.28152,11.92744,14.44,46.626
165,0,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,15.6,3.96,43.74599695,8.07258529,1.420469004,25.54466797,8.708274684,6.158855605,1.529671502,0.829046399,0.100103653,7.579324608,9.602256792,26.37371437,8.808378337,15.94698,10.25349,78.56414411,0.502082844,8.627869003,40.40745528,49.53740713,128.1015512,24.465,4.41,8.715,10.29,1.05,5.565,2.31,,,14.28,6.72,,,0.819,2.415,35.574,0.25536,2.52168,13.18296,15.96,51.534
160,0,DA,y,Fagaceae,Nothofagus antarctica,-51.68305556,-72.26555556,FW,Tempf,site3_site_classV,"southern west of Santa Cruz province, Argentina",,14.3,3.63,40.1004972,7.399869849,1.302096587,23.41594564,7.982585127,5.645617637,1.402198877,0.759959199,0.091761682,6.947714224,8.802068726,24.17590484,8.074346809,14.618065,9.3990325,72.0171321,0.460242607,7.90887992,37.04016734,45.40928987,117.426422,7.911,1.6,6,0.31,0.001,1,0.4,,,7,2,,,1.12,2.11,12.541,0.2,1.9,4.2,6.3,18.841
