dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00194,0.123,5.10E-05,2.80E-05,3.10E-05,2.02E-05,0.011753408,0.105824312,0.002341241,8.00E-04
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,8.00E-04,0.11,5.00E-05,7.40E-05,5.20E-05,1.01E-05,0.008581718,0.065570226,0.003299207,0.00254
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00563,0.32,0.000241,0.00036,0.000302,2.07E-05,0.034321023,0.164214019,0.008913027,0.0017
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00466,0.34,0.000222,0.00058,0.000314,2.66E-05,0.021588665,0.074118325,0.009063243,0.0021
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00351,0.345,0.000182,0.000327,0.000183,2.25E-05,0.028588165,0.142950244,0.008347396,0.0018
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00055,0.06,2.20E-05,8.00E-06,1.10E-05,1.41E-05,0.004574475,0.063379782,0.00062647,0.000401
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00544,0.33,0.000279,0.000617,0.000672,2.16E-05,0.046658908,0.144886875,0.019111028,0.00685
Lusk0000a,NZ,CTRF,Weinmannia racemosa,Cunionaceae,0.064265,0.305,0.00736,0.00251,NA,0.00037122,0.296002891,0.306964019,0.097529368,0.0056
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,8.00E-04,0.064,2.30E-05,9.00E-06,1.50E-05,2.57E-05,0.00588557,0.072673202,0.001102606,5.00E-04
Lusk0000a,NZ,WTRF,Litsea calicaris,Lauraceae,0.036007,0.36,0.00226,0.00164,NA,0.002381841,0.138495895,0.180313687,0.052721524,0.0058
Lusk0000a,NZ,WTRF,Vitex lucens,Verbenaceae,0.202163,0.47,0.01311,0.01252,NA,0.001326348,0.546051863,0.447188098,0.166096404,0.0127
Lusk0000a,NZ,WTRF,Beilschmiedia tarairi,Lauraceae,0.110042,0.443,0.00842,0.00412,NA,0.002156624,0.371622282,0.337512451,0.148234114,0.0074
Lusk0000a,NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.016603,0.308,0.00294,0.00233,NA,0.000174514,0.091304715,0.240427084,0.026128735,0.0058
Lusk0000a,NZ,WTRF,Weinmannia silvicola,Cunionaceae,0.046337,0.454,0.00554,0.00238,NA,0.00055135,0.241050001,0.385058684,0.064060002,0.00469
Lusk0000a,NZ,WTRF,Beilschmiedia tawa,Lauraceae,0.034192,0.503,0.00303,0.00271,NA,0.000515038,0.246048972,0.364150271,0.056888809,0.0058
Lusk0000a,NZ,WTRF,Litsea calicaris,Lauraceae,0.147209,0.55,0.00668,0.00355,NA,0.002170333,0.454695984,0.444556903,0.146011387,0.0063
Lusk0000a,NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.096644,0.436,0.00573,0.00347,NA,0.001316963,0.360833697,0.46674731,0.089380773,0.0071
Lusk0000a,NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.07653,0.62,0.00471,0.0047,NA,0.000560574,0.544577875,0.691208503,0.146112777,0.0084
Lusk0000a,NZ,WTRF,Elaeocarpus dentatus,Elaeocarpaceae,0.080186,0.616,0.00552,0.00386,NA,0.001135293,0.422440579,0.572164303,0.087576638,0.0069
Lusk0000a,NZ,WTRF,Vitex lucens,Verbenaceae,0.164117,0.468,0.00779,0.00626,NA,0.000969304,0.507995297,0.427330126,0.136468948,0.0104
Lusk0000a,NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.014037,0.26,0.00227,0.00131,NA,0.000189743,0.070652875,0.164245835,0.022942069,0.0053
Lusk0000a,NZ,WTRF,Vitex lucens,Verbenaceae,0.171764,0.45,0.00958,0.0075,NA,0.001204133,0.51469099,0.44725292,0.126330085,0.0114
Lusk0000a,NZ,CTRF,Metrosideros umbellata,Myrtaceae,0.027987,0.26,0.00482,0.00399,NA,0.000290717,0.096091315,0.242474009,0.023262105,0.0086
Lusk0000a,NZ,WTRF,Vitex lucens,Verbenaceae,0.207271,0.598,0.01299,0.01187,NA,0.001073771,0.566796575,0.534623695,0.140350664,0.0131
Lusk0000a,NZ,WTRF,Laurelia novaezelandiae,Atherospermataceae,0.09048,0.527,0.0045,0.00419,NA,0.000493654,0.477190717,0.572225741,0.130738802,0.0084
Lusk0000a,NZ,WTRF,Dysoxylum spectabile,Meliaceae,0.149737,0.388,0.00833,0.00417,NA,0.002418165,0.394584189,0.383472818,0.133052127,0.0078
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00232,0.188,9.20E-05,0.000298,0.000167,1.48E-05,0.009348365,0.037947025,0.004808669,0.0033
Lusk0000a,NZ,WTRF,Kunzea ericoides,Myrtaceae,0.00117,0.145,5.60E-05,0.000116,5.70E-05,1.48E-05,0.005058112,0.048039438,0.002315892,0.00228
