,,,years,cm2,cm,cm,cm,cm,g,g,g,g,g,g,g.m2,g/l,g/m2,,,% PPFD,,-,,,,mm,oC,,years,-
Sylvain Delagrange,Aceraceae,Acer saccharum,7,37.7,0.28,9.5,14.5,2,0.09,0.18,0,0.27,2.1,2.37,23.33,1.13,0.672,DA,FE,0.85,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,64
Sylvain Delagrange,Aceraceae,Acer saccharum,7,163.8,0.48,19.5,22,9,0.54,0.56,0.7,0.11,4.28,4.39,33.22,0.96,0.697,DA,FE,2.05,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,65
Sylvain Delagrange,Aceraceae,Acer saccharum,7,1192.2,0.76,47.5,77,28,3.9,6.66,0.62,1.33,8.98,10.31,33.5,1.06,0.696,DA,FE,3.58,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,74
Sylvain Delagrange,Aceraceae,Acer saccharum,12,538.8,0.61,33,71,44,1.22,4.9,0.61,0.98,6.03,7.01,24.46,1.07,0.661,DA,FE,0.4,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,87
Sylvain Delagrange,Aceraceae,Acer saccharum,17,1643.3,1.05,54,128,72,4.4,20.06,4.99,3.97,9.74,13.71,26,0.98,0.775,DA,FE,0.5,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,94
Sylvain Delagrange,Aceraceae,Acer saccharum,16,3688.5,1.69,87,173,92,11.44,51.48,8.9,9.4,35.45,44.85,28.22,1.04,0.813,DA,FE,1.1,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,96
Sylvain Delagrange,Aceraceae,Acer saccharum,23,5460.3,2.06,120.5,196,90,16.66,99.15,25.33,21.85,58.81,80.66,27.88,1.02,0.838,DA,FE,1.1,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,99
Sylvain Delagrange,Aceraceae,Acer saccharum,19,427.6,0.88,30.5,103,27,1.24,13.02,2.25,1.72,5.14,6.86,28.31,1.04,0.692,DA,FE,0.65,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,119
Sylvain Delagrange,Aceraceae,Acer saccharum,16,578.6,1.1,36.5,89,31,1.63,11.55,10.17,2.07,3.92,5.99,29.23,0.99,0.722,DA,FE,11.4,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,121
Sylvain Delagrange,Aceraceae,Acer saccharum,9,2639.9,1.33,75,146,63,9.31,36.95,4.59,9.9,24.96,34.86,32.99,1,0.874,DA,FE,1.2,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,124
Sylvain Delagrange,Aceraceae,Acer saccharum,12,345.3,0.76,24,60,18,1.15,3.95,0.4,1.93,1.33,3.26,33.22,1.3,0.827,DA,FE,3.6,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,125
Sylvain Delagrange,Aceraceae,Acer saccharum,14,3858.2,1.86,101.5,202,,10.38,68.45,10.05,11.24,35.68,46.92,27.98,1,0.761,DA,FE,1.93,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,135
Sylvain Delagrange,Aceraceae,Acer saccharum,11,2427.7,1.53,70,153,55,6.22,45.02,7.05,8.42,31.66,40.08,26,1.01,0.703,DA,FE,1.7,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,137
Sylvain Delagrange,Aceraceae,Acer saccharum,13,14040.4,2.84,185,309,122,55.1,305.17,121.65,24.47,150.13,174.6,36.69,,0.914,DA,FE,4.14,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,146
Sylvain Delagrange,Aceraceae,Acer saccharum,11,2865.4,1.69,95,204,81,9.09,68.16,3.98,11.92,28.29,40.21,30.21,1.01,0.782,DA,FE,4.16,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,149
Sylvain Delagrange,Aceraceae,Acer saccharum,6,1296.4,0.97,41,61.5,39,4.41,7.89,0.58,5.39,7.54,12.93,37.09,1.1,0.618,DA,FW,15.39,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,325
Sylvain Delagrange,Aceraceae,Acer saccharum,5,628.1,0.63,38,50.5,22,2.29,3.11,0.05,2.88,5.13,8.01,36.64,1.05,0.618,DA,FW,12.23,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,330
Sylvain Delagrange,Aceraceae,Acer saccharum,9,314.1,0.53,30.5,37.5,13,1.34,2.84,0.1,1.45,2.42,3.87,42.54,1.05,0.675,DA,FW,7.13,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,380
Sylvain Delagrange,Aceraceae,Acer saccharum,10,1179.5,0.93,45,77,41,5.7,11.42,1.34,4.59,6.21,10.8,42.15,1.08,0.564,DA,FW,14.28,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,415
Sylvain Delagrange,Aceraceae,Acer saccharum,10,424.8,0.59,36,43,13,1.32,2.41,0.12,1.27,1.7,2.97,31.12,1.2,0.636,DA,FW,3.15,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,489
Sylvain Delagrange,Aceraceae,Acer saccharum,12,894.5,0.74,44.5,74,23,3.16,7.03,0.89,3.11,3.76,6.87,34.63,1.08,0.59,DA,FW,3.5,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,509
Sylvain Delagrange,Aceraceae,Acer saccharum,10,311.4,0.67,19,41.5,19,1.28,2.51,0.14,1.58,2.42,4,41.3,1.13,0.812,DA,FW,11.87,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,569
Sylvain Delagrange,Aceraceae,Acer saccharum,9,300.8,0.6,21,40,15,1.19,1.94,0.37,1.32,1.32,2.64,39.63,1.06,0.71,DA,FW,5.34,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,585
Sylvain Delagrange,Aceraceae,Acer saccharum,8,388.9,0.7,24,52,16,1.66,3.05,0.07,1.83,2.33,4.16,39.85,1.11,0.571,DA,FW,20.4,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,282
Sylvain Delagrange,Aceraceae,Acer saccharum,10,204,0.5,18.5,34.5,5,0.73,1.32,0,0.83,0.79,1.62,35.55,1.13,0.588,DA,FW,3.4,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,308
Sylvain Delagrange,Aceraceae,Acer saccharum,7,544.4,1.13,27,47,14,2.21,2.74,0.44,2.24,3.84,6.08,36.63,1.09,0.538,DA,FW,7.23,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,598
Sylvain Delagrange,Aceraceae,Acer saccharum,17,6065.2,2,76,225,124,19.51,99.76,11.6,22.45,42,64.45,33.31,1.08,0.861,DA,FW,3.9,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,192
Sylvain Delagrange,Aceraceae,Acer saccharum,21,3560.1,2.07,84,150,83,10.39,37.23,7.47,9.6,16.15,25.75,30.63,1.06,0.728,DA,FW,2.2,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,198
Sylvain Delagrange,Aceraceae,Acer saccharum,16,1697.6,1.2,58,140,47,4.03,32.14,4.06,5.04,20.38,25.42,23.17,1,0.612,DA,FW,0.4,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,223
Sylvain Delagrange,Aceraceae,Acer saccharum,11,1229.2,0.96,49.5,95,23,3.43,11.43,2.7,2.15,11.13,13.28,25.52,0.97,0.716,DA,FW,0.8,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,233
Sylvain Delagrange,Aceraceae,Acer saccharum,13,490.3,0.49,29,63,35,1.33,3.28,0.57,0.63,1.7,2.33,26,1.04,0.662,DA,FW,0.3,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,652
Sylvain Delagrange,Aceraceae,Acer saccharum,10,22244.6,2.86,168.5,388,170,84.12,390.5,89.06,45.39,366.09,411.48,36.17,0.98,0.824,DA,FW,22.1,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,40
Sylvain Delagrange,Aceraceae,Acer saccharum,12,2705.2,1.61,90.5,91.5,61,11.87,76.42,8.27,11.6,26.88,38.48,43.33,1.02,0.887,DA,FW,26.7,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,76
Sylvain Delagrange,Aceraceae,Acer saccharum,13,4294.9,1.85,103.5,198,72,17.76,88.06,16.66,12.98,55.61,68.59,41.01,1.03,0.844,DA,FW,35,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,78
Sylvain Delagrange,Aceraceae,Acer saccharum,13,11930.9,3.55,117.5,223,115,60.26,203.92,82.8,31.35,115.01,146.36,47.55,1.01,1.019,DA,FW,15.8,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,83
Sylvain Delagrange,Aceraceae,Acer saccharum,11,20340.7,3.87,159.5,319,217,80.64,344.75,113.44,37.6,210.2,247.8,40.03,1.02,0.785,DA,FW,10.5,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,148
Sylvain Delagrange,Aceraceae,Acer saccharum,9,7573,2.23,132,310,124,29.98,182.27,17.37,28,78.63,106.63,37.28,0.99,0.879,DA,FW,15.7,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,618
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,427.4,0.49,42.5,68,23,1.05,2.08,0.41,0.34,0.68,1.02,24.48,0.92,0.57,DA,FE,1.65,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,1
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,167.9,0.35,27.5,52,33,0.55,0.96,0.05,0.99,1.01,2,32.63,0.94,0.781,DA,FE,2.29,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,13
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,4,293.6,0.71,45.35,64,29,0.77,3.4,0.71,0.4,1.49,1.89,26.22,0.88,0.723,DA,FE,2.12,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,16
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,6,28,0.52,6.25,44.5,3,0.06,1.93,0.16,1.11,1.12,2.23,19.67,0.8,0.551,DA,FE,1.13,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,21
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,4,1098.6,0.73,41.5,72,52,2.63,3.58,1.51,2.89,1.78,4.67,22.11,0.9,0.598,DA,FE,3.35,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,32
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,553.1,0.53,44,88,28,1.12,3.41,0.21,1.41,1.65,3.06,19.7,0.9,0.526,DA,FE,3.13,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,36
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,805.4,0.78,58.5,119,56,3.31,9.23,0.95,9.56,5.87,15.43,34.5,0.84,0.823,DA,FE,8.26,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,37
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,6,5192.6,1.99,121,175,97,18.33,57.64,22.78,1.05,16.92,17.97,31.32,0.82,0.904,DA,FE,15.92,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,51
