,,,yr,m2,cm,cm,cm,cm,g,g,g,g,g,g,g.m2,,,%PPFD,,,,,,,,,,,
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.121949002,8.66,74,164.4,141.9,2.890000105,24.67000008,5.63,1.51,6.63,8.140000105,23.69843169,DA,FW,13.52,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,33,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,20,0.688938065,15.1,96,163.5,152.5,17.94000053,57.56000137,35.39,8.13,31.85,39.98000073,26.04007741,DA,FW,20.8,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,34B,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,9,0.095915005,6.16,49.5,79,59,3.130000114,4.940000057,1.84,0.35,1.55,1.900000051,32.6330601,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,39,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,7,0.030703002,5.65,20,52,40.2,0.730000019,1.940000057,0.29,0.36,1.2,1.559999973,23.77617755,DA,FW,13.52,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,10,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,13,0.214027796,16.44,68.5,206.6,141.8,6.860000134,48,7.15,2.16,11.96,14.11999971,32.05191222,DA,FW,14.56,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,15,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,10,0.492850008,11.04,100.5,167.5,153.5,15.98999977,29.26000023,22.88,8.62,12.14,20.76000011,32.44394749,DA,FW,24.96,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,17,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,0.331898124,11.3,46.5,194.5,243.5,9.390000343,41,8.32,1.61,16.98,18.58999979,28.29181504,DA,FW,21.84,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,20,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.175938002,9.42,65,104.8,80.8,3.99000001,14.63000011,8.63,2.09,6.25,8.339999795,22.67844337,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,25,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.261610358,9.63,106,146.1,133.6,6.489999771,20.17000008,8.17,3.54,6.16,9.699999809,24.80788535,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,26,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.052756002,6.64,33.5,83.4,52.7,1.360000014,5.519999981,0.97,0.19,0.93,1.11999999,25.77905756,DA,FW,13.52,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,28,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,4,0.010825,3.05,15.5,35.9,29.9,0.370000005,0.529999971,0.13,0.11,0.09,0.199999999,34.18013758,DA,FW,21.84,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,3,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.19065199,8.7,73,160.4,129.4,5.079999924,18.04999924,3.58,0.71,2,2.709999949,26.64540728,DA,FW,18.72,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,5,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.338015993,13.19,96.5,146,139.5,9.670000076,26.39999962,8.92,2.63,12.61,15.24000025,28.60811408,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,6,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,19,0.488896191,11.92,95.5,174.6,131.6,13.52999973,31.04999924,19.35,2.34,16.45,18.7900002,27.6745861,DA,FW,20.8,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,7,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.114969995,5.97,46,89.5,66.7,2.930000067,6.400000095,1.31,0.8,2.71,3.51000005,25.48491083,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,8,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.852642918,17.6,94,160.5,157.5,25.89999962,49.18999863,34.78,5.85,23.61,29.45999908,30.37613881,DA,FW,22.88,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,9,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.354755067,11,97.5,140.8,130.8,10.86999989,22.28000069,11.89,1.52,7.44,8.959999919,30.64085875,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,10,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.221654004,10.98,65.5,161.8,124.3,5.460000038,24.84000015,5.5,1.3,35.55,36.85000098,24.63298632,DA,FW,14.56,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,11,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,13,0.121768007,7.11,38,71.5,64.1,3.019999981,4.239999771,3.07,1.54,2.09,3.629999995,24.80125992,DA,FW,14.56,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,12,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.35778137,14.56,111,180.8,137.2,9.68999958,35.74000168,12.08,8.53,13.17,21.69999957,27.08357784,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,19,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,18,0.190565995,14.36,78.5,196.5,181.7,5.699999809,50.5,6.16,2.18,10.38,12.56000042,29.91089679,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,21,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,16,0.353110865,12.2,110.5,175.6,140.1,9.010000229,36.54999924,9.64,1.76,6.42,8.180000067,25.51606628,DA,FW,14.56,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,22A,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.736666851,15.86,127,247.6,205.6,21.60000038,87.27999878,30.96,7.07,20.94,28.00999975,29.32126016,DA,FW,17.68,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,22C,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,18,0.44163774,14.76,101,185.1,134.1,10.44999981,47.40000153,19.29,1.41,13.52,14.92999983,23.66192664,DA,FW,11.44,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,23,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,9,0.044896001,3.14,33,42.1,37.4,1.110000014,1.360000014,0.76,0.29,0.76,1.049999967,24.72380587,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,27,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.409533085,11.1,103,119.1,118.1,10.28999996,17.05999947,14.32,4.79,9.23,14.01999998,25.12617503,DA,FW,16.64,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,29,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,8,0.105159999,5.21,52.5,73.4,66.9,2.799999952,3.5,0.79,0.29,0.65,0.939999998,26.62609329,DA,FW,20.8,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,30,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,18,0.385813261,14.1,108.5,283,225,15.35999966,89.69999695,22.28,2.36,16.01,18.37000036,39.81200549,DA,FW,23.92,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,33,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,4,0.055905,4.06,32.5,46.4,39.9,1.730000019,1.25999999,0.43,0.31,0.32,0.630000003,30.94535425,DA,FW,5.2,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,41,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,0.352568359,19.64,106,186.1,147.4,11.56999969,53.04000092,26.94,2.43,15,17.42999983,32.81633019,DA,FW,8.32,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,42,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,13,0.507360298,14.06,122,205,187.5,13.81000042,44.22999954,20.81,4.36,18.94,23.29999971,27.21931628,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,43A,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.464082363,12.96,91.5,131.9,113.9,11.97999954,24.12999916,22.39,5.78,21.34,27.12000012,25.81438229,DA,FW,23.92,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,2,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.159505013,8.6,88,143.7,96.7,4.260000229,15.44999981,7.12,0.48,1.6,2.079999983,26.7076259,DA,FW,22.88,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,03B,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,17,0.246411247,10.88,78,182.7,130.7,5.829999924,38.95000076,10.02,2.24,8.59,10.83000016,23.65963402,DA,FW,9.36,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,4,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,0.336269752,14.96,85,193.8,141.8,11.17000008,52.27000046,14.1,1.95,15.15,17.0999999,33.21737984,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,9,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,16,0.509490602,14.94,116.5,179.5,121,16.25,59.04999924,24.63,1.82,17.39,19.2100004,31.89460206,DA,FW,26,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,11B,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.603111442,13.72,92,185.4,139.9,17.70999908,51.08000183,27.18,4.08,14.63,18.70999992,29.36438916,DA,FW,26,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,12B,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,0.664428668,16.28,106.5,215.3,193.3,19.43000031,68.80999756,35.34,5.49,21.59,27.07999945,29.24316973,DA,FW,26,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,17A,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,20,0.630839781,17.01,117,206.2,152.2,18.71999931,79.08999634,32.61,4.49,23.12,27.60999918,29.67472866,DA,FW,17.68,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,18,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,4,0.031423997,3.24,22.5,34.3,30.8,0.839999974,0.639999986,0.31,0.15,0.1,0.250000004,26.73116225,DA,FW,9.36,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,19,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,13,0.084413006,9.18,33.5,48.7,46.2,2.380000114,3.309999943,2.52,0.64,1.36,2.00000003,28.19470872,DA,FW,16.64,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,23,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,10,0.067411086,5.88,60.5,104.6,74.1,1.840000033,5.380000114,1.19,0.33,1.36,1.69000002,27.29521432,DA,FW,16.64,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,02B,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,9,0.044136996,5.98,40,82.4,56.9,1.289999962,3.720000029,0.56,0.31,1.06,1.369999982,29.22718079,DA,FW,30.16,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,09A,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.765662308,16.83,156.5,203.9,171.9,24.13999939,62.59000015,54.94,9.4,36.27,45.66999841,31.5282588,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,10B,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.216649,7.76,74.5,122.8,70.8,6.320000172,13.89000034,5.52,2.49,4.17,6.660000086,29.17161018,DA,FW,15.6,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,25,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,15,0.34788589,13.82,98,151,142.5,11.27999973,30.15999985,20.14,5.36,14.22,19.58000016,32.42442442,DA,FW,14.56,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,27,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.286877005,11.34,89,144.5,88.5,6.820000172,26.62999916,12.75,1.68,7.11,8.790000141,23.77325495,DA,FW,14.56,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,28,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,14,0.198034347,14.22,64,234.1,186.6,15.25,53.43000031,12.3,0.72,11.15,11.86999971,77.00684352,DA,FW,28.08,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,1,MS
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.16870388,7.68,70.5,81.5,78,4.400000095,3.680000067,5.93,1.12,2,3.120000005,26.08120265,DA,FW,21.84,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,05B,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,20,0.825168433,17.42,165,215.8,201.8,20.55999947,92.48000336,33.61,4.26,31.01,35.26999927,24.91612457,DA,FW,19.76,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,11,DW
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,12,0.607311635,12.9,104.5,135.5,130,18.32999992,24.20999908,29.76,1.58,14.29,15.87000036,30.18219787,DA,FW,16.64,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,23,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,7,0.030084001,4.48,12,37,34,0.790000021,0.569999993,0.12,0.18,0.31,0.489999998,26.25980607,DA,FW,13.52,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,26,DWM
Sylvain Delagrange,Betulaceae,Betula alleghaniensis,11,0.049662905,5.3,27.5,56.2,32.7,1.230000019,2.930000067,0.69,0.65,0.68,1.329999968,24.76697663,DA,FW,11.44,individuals were grouped by site and seedbed,"Outaouais, Qu_bec, Canada",45.99722222,-75.325,TempF,870,3.9,none yet,B2,27,DWM
