dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00197,0.158,1.00E-04,9.70E-05,9.30E-05,0.000164491,0.013199648,0.11185417,0.004534225,0.0011
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.001,0.079,8.20E-05,5.20E-05,2.90E-05,0.000100186,0.005993506,0.054149613,0.001931089,0.0013
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00428,0.2,0.00015,0.000185,0.00016,0.000389619,0.021466594,0.091670773,0.008138823,0.00152
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00199,0.0597,0.000125,6.20E-05,4.80E-05,0.00019924,0.008468565,0.046804947,0.0032883,0.0014
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00163,0.105,8.20E-05,8.70E-05,0.000113,0.000271984,0.009674129,0.055878551,0.005003182,0.00279
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00106,0.105,4.00E-05,5.20E-05,6.90E-05,4.82E-05,0.006828421,0.077335273,0.001952017,9.00E-04
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00106,0.105,4.00E-05,5.20E-05,6.90E-05,4.82E-05,0.006828421,0.077335273,0.001952017,9.00E-04
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00032,0.035,7.00E-06,5.00E-06,5.00E-06,8.01E-05,0.001320608,0.018523473,0.000674107,0.00102
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00474,0.26,0.00041,0.000701,0.000642,4.52E-05,0.048695116,0.201023095,0.010053513,0.00381
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00393,0.114,0.00028,0.00018,0.00026,0.000655554,0.017453964,0.073391327,0.008596977,0.0014
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00643,0.26,0.00045,0.00065,0.00027,9.33E-05,0.044600088,0.172799095,0.014324112,0.0018
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00292,0.22,0.000229,0.000279,0.000261,0.000127029,0.020062668,0.146911754,0.004011549,0.00254
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.0155,0.387,0.00088,0.00071,0.00041,0.001107684,0.104536208,0.253114004,0.027844056,0.00356
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.01508,0.279,0.001835,0.00113,8.00E-04,0.000486686,0.1055844,0.25900797,0.04290241,0.00457
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.01268,0.39,0.00156,0.00089,0.00062,0.000746234,0.083477489,0.239415134,0.019029986,0.00457
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01315,0.57,4.00E-04,0.00127,0.00063,0.001011964,0.056732483,0.15535073,0.021354008,0.00254
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.01073,0.171,0.00071,0.00054,7.00E-04,0.000975856,0.055991596,0.190865305,0.015628164,0.0021
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.01359,0.265,0.00147,0.00108,0.00075,0.000849714,0.065097922,0.171832058,0.021159965,0.00457
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00875,0.441,0.00049,0.00074,0.00044,0.000186242,0.063765304,0.292695344,0.011552554,0.00389
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00102,0.073,6.60E-05,6.60E-05,0.000149,0.000102039,0.005499721,0.044968476,0.002052771,0.0019
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01185,0.2,0.00082,0.000485,0.000486,0.000592726,0.058767589,0.171718944,0.016589067,0.0048
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00884,0.439,0.000575,0.00096,0.00043,0.000119504,0.123786822,0.320387581,0.030846446,0.0015
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.02006,0.743,0.00209,0.00366,0.00164,0.001543642,0.107569079,0.20835804,0.034925838,0.00508
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00205,0.105,6.00E-05,5.00E-05,4.70E-05,0.000227858,0.010179441,0.066103683,0.003468694,0.00254
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01161,0.198,0.001134,0.00063,0.00096,0.000504951,0.056687876,0.214444247,0.011596017,0.00371
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00708,0.142,0.00058,0.00032,0.00033,0.00088529,0.039565416,0.157390597,0.012512475,0.0016
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00603,0.105,0.000334,1.00E-04,0.000138,0.000502659,0.028222271,0.095418974,0.011450459,0.0021
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01418,0.178,0.00084,0.00028,0.000452,0.000945592,0.061817782,0.17485118,0.017270765,0.0029
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00857,0.15,0.00026,0.00021,0.00012,0.000408192,0.042321405,0.139578015,0.01460662,0.00254
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.01154,0.242,0.00114,0.00081,0.00066,0.001049339,0.062732557,0.179926059,0.017571284,0.0034
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00154,0.153,0.000136,0.000148,9.00E-05,6.70E-05,0.009134645,0.077020956,0.001962396,0.001
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00827,0.17,8.00E-04,0.00055,0.00057,0.0009191,0.044241163,0.133171789,0.014074243,0.00254
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00443,0.241,0.00033,0.00024,0.00021,0.00015279,0.036880184,0.19201662,0.007870121,0.001
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.01208,0.26,0.00095,6.00E-04,0.00056,0.000755137,0.085908149,0.248834412,0.021684656,0.00457
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00881,0.192,0.000944,0.000531,0.000756,0.000677811,0.044217957,0.146099065,0.013401709,0.0036
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.01121,0.2,0.00117,0.00069,0.00056,0.001121175,0.052700781,0.149755945,0.014367701,0.00254
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01692,0.195,0.000921,0.000236,0.001169,0.000705106,0.091313356,0.212674502,0.028214747,0.00389
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00563,0.203,0.000389,0.000448,0.000427,0.000402203,0.020814987,0.094365193,0.006509394,0.00152
Lusk2011,Chile,WTRF,Amomyrtus luma,Myrtaceae,0.02081,0.38,0.00154,0.00117,0.00131,0.000385426,0.13020478,0.306194741,0.032283919,0.0015
Lusk2011,Chile,WTRF,Amomyrtus luma,Myrtaceae,0.03439,0.46,0.00311,0.00281,0.00196,0.000484426,0.241146486,0.289166206,0.093778248,0.00254
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.02048,0.26,0.001915,0.00101,0.00135,0.001706867,0.101679003,0.229145662,0.027862769,0.00381
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01932,0.201,0.001446,0.000621,0.001063,0.001207637,0.095141137,0.248302072,0.021849489,0.0044
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01123,0.4,0.00035,0.00067,0.00047,0.001021007,0.051184265,0.126390299,0.024134466,0.00457
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01952,0.254,0.000527,0.001777,0.001297,0.000813409,0.084764293,0.243987284,0.024977814,0.00371
Lusk2011,Chile,WTRF,Amomyrtus luma,Myrtaceae,0.02265,0.475,0.00236,0.00256,0.00238,0.000435605,0.190143096,0.428733902,0.048135724,0.001
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01778,0.215,0.00127,0.000305,0.000657,0.0011854,0.086721454,0.188682249,0.029553389,0.0032
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.0422,0.51,0.00422,0.00278,0.00162,0.001361358,0.224871381,0.440150322,0.038170948,0.00401
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.05513,0.32,0.00436,0.00195,0.00175,0.001020969,0.204941414,0.3393038,0.048057225,0.00457
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.06246,0.52,0.00502,0.00273,0.00175,0.002402396,0.286577874,0.47157231,0.051113501,0.00407
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02161,0.59,0.00083,0.00244,0.00142,0.001964593,0.092403293,0.143448135,0.041083157,0.00152
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00182,0.155,0.000127,0.000101,3.90E-05,0.000113752,0.016602397,0.14092008,0.002760053,0.00152
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.04272,0.327,0.00379,0.00287,0.00165,0.001708822,0.153080367,0.311205289,0.037215204,0.002
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01982,0.193,0.001515,0.001293,0.00172,0.001801831,0.084545584,0.205495707,0.024880385,0.00491
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.02469,0.205,0.001404,0.000773,0.001764,0.001122246,0.118470856,0.205448114,0.048727132,0.00379
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.05,0.53,0.00452,0.00264,0.00195,0.001219459,0.233009134,0.503431199,0.038221317,0.0061
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01009,0.182,0.000818,0.000645,0.000723,0.00063059,0.047946963,0.165083407,0.011847114,0.00371
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.03936,0.383,0.00305,0.00139,0.0017,0.00140563,0.158127463,0.354866451,0.035536006,0.0023
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01032,0.28,4.00E-04,0.00056,0.00034,0.000687951,0.051029843,0.193112816,0.018926609,0.00152
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.04935,0.404,0.00444,0.00288,0.00238,0.001644873,0.223795412,0.354419144,0.05139092,0.0033
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00028,0.034,7.00E-06,5.00E-06,4.00E-06,3.50E-05,0.001673037,0.026858775,0.000602185,5.00E-04
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.02745,0.44,0.000938,0.00184,0.00105,0.000980216,0.111909155,0.170019584,0.05829413,0.002
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01093,0.143,0.000689,0.00029,0.000433,0.000840646,0.049674341,0.130165035,0.017751038,0.003
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00367,0.084,0.000163,0.00028,0.000405,0.000305788,0.01765836,0.080444086,0.006076188,0.0017
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.02892,0.3,0.0025,0.00173,0.00154,0.001700906,0.13959854,0.290805252,0.039942521,0.00381
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01564,0.31,0.00066,0.00086,0.00124,0.000919851,0.065031519,0.16850798,0.024534313,0.00457
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00705,0.125,0.00057,0.00039,0.00045,0.000881107,0.031484827,0.10220324,0.011884307,0.00254
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00369,0.293,0.000389,0.000385,0.00037,6.15E-05,0.022994042,0.123925557,0.014830345,0.0028
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00157,0.088,0.000112,0.00014,6.70E-05,0.000130807,0.006614332,0.06570885,0.001618956,0.0011
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01392,0.2,0.000989,0.000527,0.000517,0.000695852,0.0766076,0.208580143,0.022102201,0.00379
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01276,0.178,0.001146,0.00074,0.000909,0.001063068,0.059632854,0.137196412,0.021161915,0.0031
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00942,0.219,0.000854,0.000803,0.000387,0.000448434,0.044539072,0.154484344,0.013765947,0.0034
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.01352,0.25,0.00132,0.00092,0.00068,0.001501642,0.072880306,0.204194773,0.0263963,0.00635
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00389,0.125,0.000266,9.50E-05,0.000149,0.000176744,0.024006721,0.149421529,0.00703364,0.0016
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00389,0.125,0.000266,9.50E-05,0.000149,0.000176744,0.024006721,0.149421529,0.00703364,0.0016
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.0025,0.213,0.000176,2.00E-04,0.000115,0.000146996,0.014045323,0.116330346,0.002661836,0.0012
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00997,0.137,0.00076,0.000311,0.000671,0.000996529,0.042575765,0.111990224,0.015232984,0.00711
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.01125,0.23,0.00042,0.00042,0.00051,0.00048888,0.054559806,0.139018918,0.022483391,0.00152
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00623,0.165,0.000205,0.000146,0.000153,0.000415066,0.028867472,0.153671464,0.007851184,0.00203
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00861,0.18,0.00099,0.00076,0.00088,0.001433878,0.041842994,0.120511037,0.018598779,0.00152
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00393,0.103,0.00032,0.000304,0.000397,0.00039269,0.018055868,0.103949432,0.004642165,0.0026
Lusk2011,Chile,WTRF,Amomyrtus luma,Myrtaceae,0.00024,0.045,1.30E-05,8.00E-06,1.20E-05,3.00E-05,0.00107135,0.019387051,0.000415842,6.00E-04
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00145,0.13,0.000139,7.80E-05,8.90E-05,0.000120718,0.012618297,0.098406225,0.002691577,0.00152
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00364,0.12,0.000104,6.20E-05,8.70E-05,0.000303006,0.019466453,0.110544405,0.006213696,0.00254
Lusk2011,Chile,WTRF,Amomyrtus luma,Myrtaceae,0.00053,0.047,2.20E-05,1.40E-05,1.50E-05,5.29E-05,0.002371636,0.02935859,0.000667267,0.000401
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.002,0.114,0.000205,0.00014,0.00014,0.000153664,0.016724389,0.110469057,0.003968215,7.00E-04
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00106,0.069,3.70E-05,2.10E-05,2.70E-05,0.000117566,0.00500677,0.042470008,0.00197658,0.0018
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00221,0.16,0.000137,9.50E-05,0.000119,0.000157435,0.015393957,0.110637276,0.003006619,0.00254
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00117,0.064,4.00E-05,7.60E-05,9.10E-05,0.000116605,0.005860414,0.039473821,0.003496383,0.00254
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00121,0.112,1.00E-04,6.20E-05,4.20E-05,0.000100467,0.006939437,0.06837154,0.001759218,0.00254
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00061,0.089,2.50E-05,1.50E-05,1.10E-05,5.52E-05,0.003502023,0.05039904,0.000863103,8.00E-04
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,8.00E-04,0.055,4.80E-05,4.00E-05,6.10E-05,6.62E-05,0.004366331,0.042097498,0.001176845,0.0013
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.00052,0.041,4.00E-05,3.00E-05,4.00E-05,6.44E-05,0.003470967,0.04433059,0.001032934,0.001
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,5.00E-04,0.068,3.20E-05,2.40E-05,1.20E-05,5.50E-05,0.003241136,0.046282378,0.000960811,0.000401
Lusk2011,Chile,WTRF,Nothofagus dombeyi,Nothofagaceae,0.00039,0.045,1.30E-05,1.00E-05,4.00E-06,5.51E-05,0.002173753,0.029949699,0.000684399,6.00E-04
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,3.00E-04,0.049,7.00E-06,5.00E-06,3.00E-06,4.93E-05,0.001629747,0.027777519,0.000573694,0.000401
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00019,0.037,6.00E-06,4.00E-06,4.00E-06,4.66E-05,0.000598893,0.011764792,0.00029416,3.00E-04
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00022,0.047,5.00E-06,5.00E-06,3.00E-06,3.58E-05,0.001009719,0.021110861,0.00046872,5.00E-04
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00082,0.068,4.30E-05,2.90E-05,5.20E-05,8.81E-05,0.003647422,0.041131723,0.001060593,0.0012
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,9.00E-05,0.017,4.00E-06,2.00E-06,3.00E-06,2.17E-05,0.00049914,0.010004909,0.000254959,0.000401
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00877,0.219,0.000823,0.000543,0.000525,0.00056435,0.043281089,0.145825219,0.011205634,0.0033
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00466,0.21,0.000409,0.000175,0.000225,0.000281099,0.018826798,0.09461538,0.006129384,0.0027
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01075,0.192,0.000685,0.000342,0.000353,0.000797887,0.052436812,0.159911866,0.016134721,0.0024
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.0156,0.17,0.001312,0.000312,0.000416,0.000792093,0.075472766,0.222503747,0.020211522,0.0031
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00914,0.216,0.000922,0.000918,0.000981,0.00110212,0.046425462,0.153527007,0.016144468,0.00379
Lusk2011,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.0015,0.062,9.30E-05,5.20E-05,6.40E-05,0.000120265,0.005833503,0.041528642,0.00224519,0.0015
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00012,0.027,4.00E-06,3.00E-06,2.00E-06,2.88E-05,0.000665648,0.014883799,0.000306198,0.000401
Lusk2011,Chile,WTRF,Aristotelia chilensis,Elaeocarpaceae,0.00099,0.068,3.30E-05,2.30E-05,2.60E-05,0.000107388,0.00399527,0.039181624,0.001533171,0.000762
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00058,0.061,3.70E-05,6.30E-05,6.30E-05,0.000129646,NA,0.016255669,0.001240192,8.00E-04
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00081,0.043,4.00E-05,1.50E-05,5.00E-05,0.000181055,NA,0.025975099,0.001223803,0.000401
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00197,0.059,0.00011,6.00E-05,0.00017,0.000328872,0.006328004,0.035551478,0.00363944,0.00203
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.0027,0.09,0.000141,9.60E-05,5.70E-05,0.000257541,0.008398603,0.052795789,0.003500785,0.00152
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.0293,0.233,0.001843,0.000967,0.000965,0.001777954,0.101559771,0.229214547,0.033873787,0.00254
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.0076,0.13,0.00042,0.00027,0.00028,0.000634022,0.020106064,0.085652115,0.008642961,0.00254
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00196,0.095,0.000131,9.20E-05,0.000186,0.000261565,0.006614475,0.041601103,0.003185852,0.00152
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00077,0.069,4.10E-05,4.00E-05,4.50E-05,0.000127784,0.002956643,0.037669906,0.001140333,0.00203
Lusk2011,Chile,WTRF,Aextoxicon punctatum,Aextoxicaceae,0.00029,0.058,2.00E-05,1.50E-05,2.00E-05,6.38E-05,NA,0.010993488,0.000699513,0.001
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00209,0.072,9.90E-05,3.40E-05,4.30E-05,0.000153044,0.007160117,0.048944318,0.00261034,0.00152
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00103,0.062,5.10E-05,2.80E-05,2.30E-05,7.52E-05,0.003862064,0.039132386,0.001907119,0.00102
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00066,0.051,3.40E-05,2.20E-05,2.90E-05,5.50E-05,0.003138851,0.045902603,0.000883482,5.00E-04
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00075,0.067,4.00E-05,2.00E-05,2.00E-05,3.36E-05,0.003768239,0.048217069,0.000977033,0.00152
Lusk2011,Chile,WTRF,Eucryphia cordifolia,Cunionaceae,0.00019,0.026,4.00E-06,4.00E-06,2.00E-06,2.75E-05,0.000530593,0.007596589,0.000350909,3.00E-04
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01392,0.254,0.000989,0.000527,0.000517,0.000522924,0.037765194,0.137335362,0.011445333,0.00356
Lusk2011,Chile,WTRF,Laureliopsis philippiana,Atherospermataceae,0.01185,0.227,0.00082,0.000485,0.000486,NA,NA,NA,NA,NA
